key	image	max_displays	weighting	first_shown_weighting	category
#loading_screen_quotes_tables;5;db/loading_screen_quotes_tables/ovn_fimir_only					
ovn_fim_skattach_loading	ui/portraits/portholes/no_culture/fim_meargh_skattach.png	-1	1	2	generic
ovn_fim_kroll_loading	ui/portraits/portholes/no_culture/fim_daemon_octopus_kroll.png	-1	1	2	generic
ovn_shrine_balor_loading	ui/units/infopics/fim_eye_oculus.png	-1	1	3	unit
ovn_bog_octopus_loading	ui/units/infopics/ovn_fim_bog_octopus.png	-1	1	3	unit
ovn_daemonomaniac_loading	ui/units/infopics/fim_daemonomaniac.png	-1	1	3	unit
ovn_nuckelavee_loading	ui/units/infopics/fim_nuckelavee.png	-1	1	3	unit
ovn_campaign_fim_fimir	ui/flags/ovn_fim_rancor_hold/mon_rotated.png	-1	1	4	campaign
ovn_fimir_lore_1		-1	1	0	quote
ovn_fimir_lore_2		-1	1	0	quote
ovn_fimir_lore_3		-1	1	0	quote
ovn_fimir_lore_4		-1	1	0	quote
ovn_fimir_lore_5		-1	1	0	quote
ovn_fimir_lore_6		-1	1	0	quote
