key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
#factions_tables;6;db/factions_tables/ovn_fimir_only																																												
ovn_fim_rancor_hold	1178856226	ovn_sc_fim_fimir	playable	ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_rancor_hold	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	ABA34A	9D2A2A	010101	AA281E	E1E100	0F0F0F	AA281E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_sigvald_burgundy	B43CE6	000000	000000	000000	000000	000000	000000	000000
ovn_fim_tendrils_of_doom	27725211	ovn_sc_fim_fimir	playable	ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_tendrils_of_doom	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	485523	6A4B2C	FFFF7F	485523	BDAD51	B58554	485523	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow	B43CE6	000000	000000	000000	000000	000000	000000	000000
ovn_fim_marsh_hornets	419773983	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_marsh_hornets	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	FFC550	552020	FF7A37	FFC550	552020	FF7A37	FFC550	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
ovn_fim_mist_dragons	1772745998	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_mist_dragons	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	786E8E	248CB2	8B1325	786E8E	248CB2	8B1325	786E8E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
mixer_fim_fimir_dummy	2005250803	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_marsh_hornets	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	786E8E	248CB2	8B1325	786E8E	248CB2	8B1325	786E8E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
ovn_fim_fimir_rebel	2005250804	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	true	ui\flags\ovn_fim_rebels	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	786E8E	248CB2	8B1325	786E8E	248CB2	8B1325	786E8E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
ovn_fim_thunderous_sight	2005250805	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_rebels	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	786E8E	248CB2	8B1325	786E8E	248CB2	8B1325	786E8E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
ovn_fim_fen_serpents	2005250806	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_rebels	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	786E8E	248CB2	8B1325	786E8E	248CB2	8B1325	786E8E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
ovn_fim_hell_gate	2005250807	ovn_sc_fim_fimir		ovn_names_fim_fimir	ovn_fim_fimir	ovn_fim_fimir	false	ui\flags\ovn_fim_rebels	ovn_fimir	0	ovn_names_fim_fimir	ovn_names_fim_fimir	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	nor				false	ovn_fimir_meargh	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	786E8E	248CB2	8B1325	786E8E	248CB2	8B1325	786E8E	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_slaanesh_grey	EBDA4B	000000	1E1E1E	000000	000000	000000	000000	000000
