battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index
#land_units_to_battle_personalities_junctions_tables;1;db/land_units_to_battle_personalities_junctions_tables/ovn_albion_only				
albion_chariot_driver	albion_chariot	autonomous_rider	ap_crewposition_0	-1
albion_chariot_fighter	albion_chariot	autonomous_rider	ap_crewposition_1	-1
albion_chariot_driver	albion_warleader_chariot	autonomous_rider	ap_crewposition_0	-1
albion_warleader_charioteer	albion_warleader_chariot	autonomous_rider	ap_crewposition_1	-1
albion_chariot_driver	albion_chief_chariot	autonomous_rider	ap_crewposition_0	-1
albion_chief_charioteer	albion_chief_chariot	autonomous_rider	ap_crewposition_1	-1
albion_chariot_driver	bl_elo_dural_durak_chariot	autonomous_rider	ap_crewposition_0	-1
bl_elo_dural_durak	bl_elo_dural_durak_chariot	autonomous_rider	ap_crewposition_1	-1
albion_morrigan_bird_rider	albion_morrigan_bird	officer		-1
alb_cav_noble	alb_cav_noble	autonomous_rider	ap_riderposition_0	-1
alb_cav_noble_spear	alb_cav_noble_spear	autonomous_rider	ap_riderposition_0	-1
albion_riders_spear	albion_riders_spear	autonomous_rider	ap_riderposition_0	-1
albion_riders	albion_riders	autonomous_rider	ap_riderposition_0	-1
albion_riders_javelins	albion_riders_javelins	autonomous_rider	ap_riderposition_0	-1
albion_warleader_horse	albion_warleader_horse	autonomous_rider	ap_riderposition_0	-1
albion_chief_horse	albion_chief_horse	autonomous_rider	ap_riderposition_0	-1
alb_cav_noble_first_ror	alb_cav_noble_first_ror	autonomous_rider	ap_riderposition_0	-1
albion_truthsayer_beast_horse_officer	albion_truthsayer_beast	autonomous_rider	ap_riderposition_0	-1
albion_truthsayer_light_horse_officer	albion_truthsayer_light	autonomous_rider	ap_riderposition_0	-1
albion_truthsayer_life_horse_officer	albion_truthsayer_life	autonomous_rider	ap_riderposition_0	-1
albion_truthsayer_truth_horse_officer	albion_truthsayer_truth	autonomous_rider	ap_riderposition_0	-1
albion_truthsayer_beast_horse_officer	albion_truthsayer_beast_horse	officer		-1
albion_truthsayer_light_horse_officer	albion_truthsayer_life_horse	officer		-1
albion_truthsayer_life_horse_officer	albion_truthsayer_light_horse	officer		-1
albion_truthsayer_truth_horse_officer	albion_truthsayer_truth_horse	officer		-1
