ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/ovn_araby_only	
ovn_anc_mount_arb_magician_life_magic_carpet	wizard
ovn_anc_mount_arb_magician_life_djinn_vessel	wizard
ovn_anc_mount_arb_magician_desert_magic_carpet	wizard
ovn_anc_mount_arb_magician_desert_djinn_vessel	wizard
ovn_anc_mount_arb_magician_fire_magic_carpet	wizard
ovn_anc_mount_arb_magician_fire_djinn_vessel	wizard
ovn_anc_mount_arb_magician_heavens_magic_carpet	wizard
ovn_anc_mount_arb_magician_heavens_djinn_vessel	wizard
ovn_araby_Serpent_Staff	general
Black_Book_Of_Ibn_Naggazar	general
roy_anc_mount_arb_champion_horse	champion
roy_anc_mount_arb_champion_pegasus	champion
roy_anc_mount_arb_champion_elephant	champion
roy_anc_mount_arb_caravan_master_horse	general
roy_anc_mount_arb_lord_horse	general
ovn_araby_sword	general
ovn_araby_helm	general
ovn_araby_talisman	general
roy_anc_mount_arb_lord_pegasus	general
ovn_araby_Mount_Elephant	general
ovn_araby_rattlesnake_staff	general
arb_fatandira_warhorse	general
arb_fatandira_roc	general
arb_fatandira_blades_demise	general
arb_fatandira_scythan_armour	general
arb_golden_magus_fire_scimitar	general
arb_golden_magus_auric_robe	general
arb_golden_magus_camel_mount	general
arb_golden_magus_djinnskiff_mount	general
wh_main_anc_mount_arb_vizier_fire_carpet	general
wh_main_anc_mount_arb_vizier_fire_camel	general
wh_main_anc_mount_arb_vizier_fire_djinn_carriage	general
wh_main_anc_mount_arb_vizier_life_carpet	general
wh_main_anc_mount_arb_vizier_life_camel	general
wh_main_anc_mount_arb_vizier_life_djinn_carriage	general
wh_main_anc_mount_arb_vizier_heavens_carpet	general
wh_main_anc_mount_arb_vizier_heavens_camel	general
wh_main_anc_mount_arb_vizier_heavens_djinn_carriage	general
wh_main_anc_mount_arb_vizier_desert_carpet	general
wh_main_anc_mount_arb_vizier_desert_camel	general
wh_main_anc_mount_arb_vizier_desert_djinn_carriage	general
arb_sheikh_mehmed_mount_horse	general
arb_sheikh_mehmed_mount_pegasus	general
arb_sheikh_mehmed_mount_elephant	general
ovn_arb_baz_arm_02_atabeg	general
ovn_arb_baz_wep_03_corsair_soul	general
ovn_arb_baz_wep_09_seeking_bow	general
ovn_arb_baz_arm_12_sultan_armour	general
ovn_arb_baz_arc_03_whirlpool_staff	general
ovn_arb_baz_ei_05_serpent_crown	general
ovn_arb_baz_tal_12_golden_carafe	general
ovn_arb_baz_arc_08_glimmering_monkey_paw	general
ovn_arb_baz_arc_09_bronze_monkey_paw	general
