parent_task_generator_group	task_generator_group	precedence	inheritance_is_additive
#cai_task_management_system_task_generator_group_overrides_tables;1;db/cai_task_management_system_task_generator_group_overrides_tables/ovn_albion			
wh3_combi_tms_generator_group_default	ovn_tms_group_albion	0	false
wh3_combi_tms_generator_group_protective_additive	ovn_tms_group_albion	0	true
wh3_combi_tms_generator_group_raider_additive	ovn_tms_group_albion	0	true
wh3_combi_tms_generator_group_aggressive_additive	ovn_tms_group_ravenqueen	0	true
wh3_combi_tms_generator_group_purifier_additive	ovn_tms_group_ravenqueen	0	false
ovn_tms_group_albion	ovn_tms_group_ravenqueen	0	false
wh3_combi_tms_generator_group_defensive_additive	ovn_tms_group_dural	0	true
wh3_combi_tms_generator_group_purifier_additive	ovn_tms_group_dural	0	false
ovn_tms_group_albion	ovn_tms_group_dural	0	false
