character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/ovn_araby_only		
roy_skill_champion_mount_horse	3	1
roy_anc_mount_arb_champion_pegasus	11	1
arb_fatandira_anc_blades_demise	6	1
arb_fatandira_anc_scythan_armour	11	1
arb_fatandira_anc_warhorse	6	1
arb_fatandira_anc_roc	15	1
arb_golden_magus_anc_fire_scimitar	6	1
arb_golden_magus_anc_auric_robe	11	1
arb_golden_magus_anc_camel	6	1
arb_golden_magus_anc_djinskiff	19	1
ovn_skill_arb_magician_unique_magician_fire_djinn_vessel	6	1
ovn_skill_arb_magician_unique_magician_heavens_djinn_vessel	6	1
ovn_skill_arb_magician_unique_magician_life_djinn_vessel	6	1
ovn_skill_arb_magician_unique_magician_desert_djinn_vessel	6	1
ovn_skill_arb_magician_unique_magician_fire_magic_carpet	15	1
ovn_skill_arb_magician_unique_magician_heavens_magic_carpet	15	1
ovn_skill_arb_magician_unique_magician_life_magic_carpet	15	1
ovn_skill_arb_magician_unique_magician_desert_magic_carpet	15	1
ovn_skill_arb_lord_mount_horse	3	1
roy_anc_mount_arb_lord_pegasus	11	1
ovn_araby_Mount_Elephant	15	1
ovn_araby_Serpent_Staff	6	1
Black_Book_Of_Ibn_Naggazar	11	1
arb_vizier_desert_camel	6	1
arb_vizier_desert_magic_carpet	15	1
arb_vizier_desert_djinn_carriage	21	1
arb_vizier_fire_camel	6	1
arb_vizier_fire_magic_carpet	15	1
arb_vizier_fire_djinn_carriage	21	1
arb_vizier_heavens_camel	6	1
arb_vizier_heavens_magic_carpet	15	1
arb_vizier_heavens_djinn_carriage	21	1
arb_vizier_life_camel	6	1
arb_vizier_life_magic_carpet	15	1
arb_vizier_life_djinn_carriage	21	1
roy_anc_mount_arb_champion_horse_wazar	3	1
roy_anc_mount_arb_champion_pegasus_wazar	11	1
arb_sheikh_mehmed_mount_horse	3	1
arb_sheikh_mehmed_mount_pegasus	11	1
arb_sheikh_mehmed_mount_elephant	15	1
ovn_skill_arb_caravan_master_mount_horse	3	1
