faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/ovn_grudge										
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_wizard_fire_0	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_wizard_fire_campaign_01_0.png	wh_main_uniform_emp_bright_wizard_01	wh_main_emp_cha_wizard_fire_0	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_wizard_fire_2	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_wizard_fire_campaign_01_0.png	wh_main_uniform_emp_bright_wizard_01	wh_main_emp_cha_wizard_fire_2	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_wizard_fire_3	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_wizard_fire_campaign_01_0.png	wh_main_uniform_emp_bright_wizard_01	wh_main_emp_cha_wizard_fire_3	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_captain_0	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_captains_campaign_01_0.png	wh_main_uniform_emp_captain_01	wh_main_emp_cha_captain_0	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_captain_2	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_captains_campaign_01_0.png	wh_main_uniform_emp_captain_01	wh_main_emp_cha_captain_0	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_captain_3	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_captains_campaign_01_0.png	wh_main_uniform_emp_captain_01	wh_main_emp_cha_captain_0	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_warrior_priest_0	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_warrior_priest_campaign_01_0.png	wh_main_uniform_emp_warrior_priest_01	wh_main_emp_cha_warrior_priest_0	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_warrior_priest_2	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_warrior_priest_campaign_01_0.png	wh_main_uniform_emp_warrior_priest_01	wh_main_emp_cha_warrior_priest_2	false		false
ovn_emp_grudgebringers_CB	false	wh_main_emp_cha_witch_hunter	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_witch_hunter_campaign_01_0.png	wh_main_uniform_emp_witch_hunter_01	wh_main_emp_cha_witch_hunter	false		false
ovn_emp_grudgebringers_CB	false	wh_dlc03_emp_cha_wizard_beasts_0	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_wizard_beasts_campaign_01_0.png	wh_dlc03_uniform_emp_amber_wizard_01	wh_dlc03_emp_cha_wizard_beasts_0	false		false
ovn_emp_grudgebringers_CB	false	wh_dlc03_emp_cha_wizard_beasts_1	true	true	ui/portraits/portholes/wh_main_emp_empire/emp_wizard_beasts_campaign_01_0.png	wh_dlc03_uniform_emp_amber_wizard_01	wh_dlc03_emp_cha_wizard_beasts_0	false		false
