key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/rhox_grudgebringer						
251519890	rhox_grudge_wh_main_emp_art_helstorm_rocket_battery	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519891	rhox_grudge_wh_dlc04_emp_cav_knights_blazing_sun_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519892	rhox_grudge_wh_main_emp_cav_reiksguard	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519893	rhox_grudge_wh_main_dwf_inf_longbeards_1	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519894	rhox_grudge_wh_main_dwf_art_organ_gun	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519895	rhox_grudge_wh_main_dwf_inf_hammerers	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519896	rhox_grudge_wh_main_dwf_inf_ironbreakers	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519897	rhox_grudge_wh_dlc05_wef_inf_waywatchers_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519898	rhox_grudge_wh_dlc05_wef_mon_treekin_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519899	rhox_grudge_wh2_dlc16_wef_inf_bladesingers_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519900	rhox_grudge_wh_main_brt_cav_grail_knights	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519901	rhox_grudge_wh_main_brt_cav_knights_of_the_realm	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519902	rhox_grudge_wh_dlc07_brt_inf_battle_pilgrims_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519903	rhox_grudge_wh2_dlc10_hef_inf_sisters_of_avelorn_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519904	rhox_grudge_wh2_main_hef_cav_dragon_princes	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519905	rhox_grudge_wh2_main_hef_inf_phoenix_guard	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519906	rhox_grudge_wh2_main_hef_inf_swordmasters_of_hoeth_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519907	rhox_grudge_wh3_main_ksl_cav_gryphon_legion_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519908	rhox_grudge_wh3_main_ksl_inf_tzar_guard_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519909	rhox_grudge_wh3_main_ksl_cav_war_bear_riders_1	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519910	rhox_grudge_wh3_main_cth_art_fire_rain_rocket_battery_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519911	rhox_grudge_wh3_main_cth_inf_dragon_guard_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519912	rhox_grudge_wh3_main_cth_inf_dragon_guard_crossbowmen_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519913	rhox_grudge_wh_main_emp_art_helblaster_volley_gun	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519914	rhox_grudge_wh_main_dwf_veh_gyrocopter_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519915	rhox_grudge_teb_pikemen	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519916	rhox_grudge_teb_conqui_adventurers	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519917	rhox_grudge_teb_pavisiers	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519918	rhox_grudge_teb_galloper	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519919	rhox_grudge_teb_encarmine	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519920	rhox_grudge_wh3_main_ogr_inf_maneaters_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519921	rhox_grudge_wh3_main_ogr_cav_mournfang_cavalry_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519922	rhox_grudge_wh_main_emp_inf_halberdiers	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
251519923	rhox_grudge_wh_main_emp_cav_outriders_0	0	rhox_grudge_vanilla_unit_pool	ovn_emp_grudgebringers		
