building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/ovn_albion_buildings																												
ovn_Waystone						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	30	30	30	30	0	0	20	500
ovn_Waystone_marker						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	500
ovn_albion_military						cai_military_group					0	0	50	50	50	50	0	0	0	0	510	510	510	510	0	0	100	500
ovn_albion_stables						cai_military_group					0	0	50	50	50	50	0	0	0	0	510	510	510	510	0	0	100	500
elo_ogham_stone						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
elo_temple_danu						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	60	60	60	60	0	0	500	500
albion_hunters						cai_military_group					-1	-1	0	0	0	0	0	0	0	0	60	60	60	60	0	0	500	500
albion_order						cai_military_group					0	0	10	10	10	10	0	0	0	0	60	60	60	60	0	0	50	50
albion_smith						cai_military_group					0	0	10	10	10	10	0	0	0	0	60	60	60	60	0	0	40	40
albion_hall_heroes						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
albion_gryphon_eyrie						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
elo_great_ogham						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
elo_forge_old_ones						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
elo_citadel_lead						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
albion_oracle_hall						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
ovn_albion_walls						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	20
ovn_albion_settlement_minor						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
ovn_albion_settlement_major						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
