region	region_group	order
#regions_to_region_groups_junctions_tables;0;db/regions_to_region_groups_junctions_tables/ovn_araby_only		
wh3_main_combi_region_el_kalabad	ovn_arb_jellabas_way_el_kalabad-black_pyramid_of_nagash	1
wh3_main_combi_region_black_pyramid_of_nagash	ovn_arb_jellabas_way_el_kalabad-black_pyramid_of_nagash	2
wh3_main_combi_region_black_pyramid_of_nagash	ovn_arb_jellabas_way_black_pyramid_of_nagash-springs_of_eternal_life	1
wh3_main_combi_region_springs_of_eternal_life	ovn_arb_jellabas_way_black_pyramid_of_nagash-springs_of_eternal_life	2
wh3_main_combi_region_springs_of_eternal_life	ovn_arb_jellabas_way_springs_of_eternal_life-khemri	1
wh3_main_combi_region_khemri	ovn_arb_jellabas_way_springs_of_eternal_life-khemri	2
wh3_main_combi_region_springs_of_eternal_life	ovn_arb_jellabas_way_springs_of_eternal_life-quatar	1
wh3_main_combi_region_quatar	ovn_arb_jellabas_way_springs_of_eternal_life-quatar	2
wh3_main_combi_region_quatar	ovn_arb_jellabas_way_quatar-karag_orrud	1
wh3_main_combi_region_karag_orrud	ovn_arb_jellabas_way_quatar-karag_orrud	2
wh3_main_combi_region_karag_orrud	ovn_arb_jellabas_way_karag_orrud-granite_massif	1
wh3_main_combi_region_granite_massif	ovn_arb_jellabas_way_karag_orrud-granite_massif	2
wh3_main_combi_region_quatar	ovn_arb_jellabas_way_quatar-numas	1
wh3_main_combi_region_numas	ovn_arb_jellabas_way_quatar-numas	2
wh3_main_combi_region_el_kalabad	ovn_arb_jellabas_way_el_kalabad-sudenburg	1
wh3_main_combi_region_sudenburg	ovn_arb_jellabas_way_el_kalabad-sudenburg	2
wh3_main_combi_region_sudenburg	ovn_arb_jellabas_way_sudenburg-bhagar	1
wh3_main_combi_region_bhagar	ovn_arb_jellabas_way_sudenburg-bhagar	2
wh3_main_combi_region_bhagar	ovn_arb_jellabas_way_bhagar-ka_sabar	1
wh3_main_combi_region_ka_sabar	ovn_arb_jellabas_way_bhagar-ka_sabar	2
wh3_main_combi_region_ka_sabar	ovn_arb_jellabas_way_ka_sabar-karak_zorn	1
wh3_main_combi_region_karak_zorn	ovn_arb_jellabas_way_ka_sabar-karak_zorn	2
wh3_main_combi_region_karak_zorn	ovn_arb_jellabas_way_karak_zorn-lost_plateau	1
wh3_main_combi_region_lost_plateau	ovn_arb_jellabas_way_karak_zorn-lost_plateau	2
wh3_main_combi_region_lost_plateau	ovn_arb_jellabas_way_lost_plateau-mount_arachnos	1
wh3_main_combi_region_mount_arachnos	ovn_arb_jellabas_way_lost_plateau-mount_arachnos	2
wh3_main_combi_region_mount_arachnos	ovn_arb_jellabas_way_mount_arachnos-granite_massif	1
wh3_main_combi_region_granite_massif	ovn_arb_jellabas_way_mount_arachnos-granite_massif	2
wh3_main_combi_region_sudenburg	ovn_arb_jellabas_way_sudenburg-plain_of_tuskers	1
wh3_main_combi_region_plain_of_tuskers	ovn_arb_jellabas_way_sudenburg-plain_of_tuskers	2
wh3_main_combi_region_plain_of_tuskers	ovn_arb_jellabas_way_plain_of_tuskers-antoch	1
wh3_main_combi_region_antoch	ovn_arb_jellabas_way_plain_of_tuskers-antoch	2
wh3_main_combi_region_antoch	ovn_arb_jellabas_way_antoch-oreons_camp	1
wh3_main_combi_region_oreons_camp	ovn_arb_jellabas_way_antoch-oreons_camp	2
wh3_main_combi_region_oreons_camp	ovn_arb_jellabas_way_oreons_camp-the_golden_tower	1
wh3_main_combi_region_the_golden_tower	ovn_arb_jellabas_way_oreons_camp-the_golden_tower	2
wh3_main_combi_region_the_golden_tower	ovn_arb_jellabas_way_the_golden_tower-teotiqua	1
wh3_main_combi_region_teotiqua	ovn_arb_jellabas_way_the_golden_tower-teotiqua	2
wh3_main_combi_region_plain_of_tuskers	ovn_arb_jellabas_way_plain_of_tuskers-tlaqua	1
wh3_main_combi_region_tlaqua	ovn_arb_jellabas_way_plain_of_tuskers-tlaqua	2
wh3_main_combi_region_tlaqua	ovn_arb_jellabas_way_tlaqua-deaths_head_monoliths	1
wh3_main_combi_region_deaths_head_monoliths	ovn_arb_jellabas_way_tlaqua-deaths_head_monoliths	2
wh3_main_combi_region_tlaqua	ovn_arb_jellabas_way_tlaqua-sun_tree_glades	1
wh3_main_combi_region_sun_tree_glades	ovn_arb_jellabas_way_tlaqua-sun_tree_glades	2
wh3_main_combi_region_sun_tree_glades	ovn_arb_jellabas_way_sun_tree_glades-cuexotl	1
wh3_main_combi_region_cuexotl	ovn_arb_jellabas_way_sun_tree_glades-cuexotl	2
wh3_main_combi_region_sun_tree_glades	ovn_arb_jellabas_way_sun_tree_glades-nahuontl	1
wh3_main_combi_region_nahuontl	ovn_arb_jellabas_way_sun_tree_glades-nahuontl	2
wh3_main_combi_region_nahuontl	ovn_arb_jellabas_way_nahuontl-nahuontl_leaf	1
wh3_main_combi_region_nahuontl	ovn_arb_jellabas_way_nahuontl-zlatlan	1
wh3_main_combi_region_zlatlan	ovn_arb_jellabas_way_nahuontl-zlatlan	2
wh3_main_combi_region_zlatlan	ovn_arb_jellabas_way_zlatlan-yuatek	1
wh3_main_combi_region_yuatek	ovn_arb_jellabas_way_zlatlan-yuatek	2
wh3_main_combi_region_yuatek	ovn_arb_jellabas_way_yuatek-dawns_light	1
wh3_main_combi_region_dawns_light	ovn_arb_jellabas_way_yuatek-dawns_light	2
wh3_main_combi_region_dawns_light	ovn_arb_jellabas_way_dawns_light-dawns_light_leaf	1
wh3_main_combi_region_dawns_light	ovn_arb_jellabas_way_dawns_light-fortress_of_dawn	1
wh3_main_combi_region_fortress_of_dawn	ovn_arb_jellabas_way_dawns_light-fortress_of_dawn	2
wh3_main_combi_region_yuatek	ovn_arb_jellabas_way_yuatek-tor_surpindar	1
wh3_main_combi_region_tor_surpindar	ovn_arb_jellabas_way_yuatek-tor_surpindar	2
wh3_main_combi_region_tor_surpindar	ovn_arb_jellabas_way_tor_surpindar-caverns_of_sotek	1
wh3_main_combi_region_caverns_of_sotek	ovn_arb_jellabas_way_tor_surpindar-caverns_of_sotek	2
wh3_main_combi_region_caverns_of_sotek	ovn_arb_jellabas_way_caverns_of_sotek-caverns_of_sotek_leaf	1
wh3_main_combi_region_caverns_of_sotek	ovn_arb_jellabas_way_caverns_of_sotek-temple_avenue_of_gold	1
wh3_main_combi_region_temple_avenue_of_gold	ovn_arb_jellabas_way_caverns_of_sotek-temple_avenue_of_gold	2
wh3_main_combi_region_temple_avenue_of_gold	ovn_arb_jellabas_way_temple_avenue_of_gold-soteks_trail	1
wh3_main_combi_region_soteks_trail	ovn_arb_jellabas_way_temple_avenue_of_gold-soteks_trail	2
wh3_main_combi_region_soteks_trail	ovn_arb_jellabas_way_soteks_trail-teotiqua	1
wh3_main_combi_region_teotiqua	ovn_arb_jellabas_way_soteks_trail-teotiqua	2
wh3_main_combi_region_teotiqua	ovn_arb_jellabas_way_teotiqua-the_cursed_jungle	1
wh3_main_combi_region_the_cursed_jungle	ovn_arb_jellabas_way_teotiqua-the_cursed_jungle	2
wh3_main_combi_region_the_cursed_jungle	ovn_arb_jellabas_way_the_cursed_jungle-serpent_coast	1
wh3_main_combi_region_serpent_coast	ovn_arb_jellabas_way_the_cursed_jungle-serpent_coast	2
wh3_main_combi_region_serpent_coast	ovn_arb_jellabas_way_serpent_coast-temple_of_skulls	1
wh3_main_combi_region_temple_of_skulls	ovn_arb_jellabas_way_serpent_coast-temple_of_skulls	2
wh3_main_combi_region_temple_of_skulls	ovn_arb_jellabas_way_temple_of_skulls-doom_glade	1
wh3_main_combi_region_doom_glade	ovn_arb_jellabas_way_temple_of_skulls-doom_glade	2
wh3_main_combi_region_doom_glade	ovn_arb_jellabas_way_doom_glade-doom_glade_leaf	1
wh3_main_combi_region_doom_glade	ovn_arb_jellabas_way_doom_glade-lybaras	1
wh3_main_combi_region_lybaras	ovn_arb_jellabas_way_doom_glade-lybaras	2
wh3_main_combi_region_lybaras	ovn_arb_jellabas_way_lybaras-lahmia	1
wh3_main_combi_region_lahmia	ovn_arb_jellabas_way_lybaras-lahmia	2
wh3_main_combi_region_lybaras	ovn_arb_jellabas_way_lybaras-lybaras_leaf	1
wh3_main_combi_region_temple_of_skulls	ovn_arb_jellabas_way_temple_of_skulls-rasetra	1
wh3_main_combi_region_rasetra	ovn_arb_jellabas_way_temple_of_skulls-rasetra	2
wh3_main_combi_region_rasetra	ovn_arb_jellabas_way_rasetra-mahrak	1
wh3_main_combi_region_mahrak	ovn_arb_jellabas_way_rasetra-mahrak	2
wh3_main_combi_region_mahrak	ovn_arb_jellabas_way_mahrak-lahmia	1
wh3_main_combi_region_lahmia	ovn_arb_jellabas_way_mahrak-lahmia	2
wh3_main_combi_region_rasetra	ovn_arb_jellabas_way_rasetra-granite_massif	1
wh3_main_combi_region_granite_massif	ovn_arb_jellabas_way_rasetra-granite_massif	2
wh3_main_combi_region_serpent_coast	ovn_arb_jellabas_way_serpent_coast-tower_of_the_stars	1
wh3_main_combi_region_tower_of_the_stars	ovn_arb_jellabas_way_serpent_coast-tower_of_the_stars	2
wh3_main_combi_region_the_cursed_jungle	ovn_arb_jellabas_way_the_cursed_jungle-the_cursed_jungle_leaf	1
wh3_main_combi_region_teotiqua	ovn_arb_jellabas_way_teotiqua-teotiqua_leaf	1
wh3_main_combi_region_temple_avenue_of_gold	ovn_arb_jellabas_way_temple_avenue_of_gold-temple_avenue_of_gold_leaf	1
wh3_main_combi_region_tor_surpindar	ovn_arb_jellabas_way_tor_surpindar-tor_surpindar_leaf	1
wh3_main_combi_region_yuatek	ovn_arb_jellabas_way_yuatek-yuatek_leaf	1
wh3_main_combi_region_zlatlan	ovn_arb_jellabas_way_zlatlan-zlatlan_leaf	1
wh3_main_combi_region_sun_tree_glades	ovn_arb_jellabas_way_sun_tree_glades-statues_of_the_gods	1
wh3_main_combi_region_statues_of_the_gods	ovn_arb_jellabas_way_sun_tree_glades-statues_of_the_gods	2
wh3_main_combi_region_sun_tree_glades	ovn_arb_jellabas_way_sun_tree_glades-sun_tree_glades_leaf	1
wh3_main_combi_region_tlaqua	ovn_arb_jellabas_way_tlaqua-tlaqua_leaf	1
wh3_main_combi_region_al_haikk	ovn_arb_jellabas_way_al_haik-lashiek	1
wh3_main_combi_region_lashiek	ovn_arb_jellabas_way_al_haik-lashiek	2
wh3_main_combi_region_lashiek	ovn_arb_jellabas_way_lashiek-wizard_caliph	1
wh3_main_combi_region_wizard_caliphs_palace	ovn_arb_jellabas_way_lashiek-wizard_caliph	2
wh3_main_combi_region_al_haikk	ovn_arb_jellabas_way_al_haik-el_kalabad	1
wh3_main_combi_region_el_kalabad	ovn_arb_jellabas_way_al_haik-el_kalabad	2
wh3_main_combi_region_al_haikk	ovn_arb_jellabas_way_al_haik-pirate_coast	1
wh3_main_combi_region_sartosa	ovn_arb_jellabas_way_al_haik-pirate_coast	2
wh3_main_combi_region_sartosa	ovn_arb_jellabas_way_pirate_coast-sartosa	1
wh3_main_combi_region_miragliano	ovn_arb_jellabas_way_pirate_coast-tilean_sea	1
wh3_main_combi_region_sartosa	ovn_arb_jellabas_way_pirate_coast-tilean_sea	2
wh3_main_combi_region_magritta	ovn_arb_jellabas_way_pirate_coast-tilean_sea	3
wh3_main_combi_region_miragliano	ovn_arb_jellabas_way_tilean_sea-miragliano	1
wh3_main_combi_region_magritta	ovn_arb_jellabas_way_tilean_sea-magritta	1
wh3_main_combi_region_magritta	ovn_arb_jellabas_way_pirate_coast-black_gulf	1
wh3_main_combi_region_al_haikk	ovn_arb_jellabas_way_pirate_coast-black_gulf	2
wh3_main_combi_region_myrmidens	ovn_arb_jellabas_way_pirate_coast-black_gulf	3
wh3_main_combi_region_gronti_mingol	ovn_arb_jellabas_way_pirate_coast-black_gulf	4
wh3_main_combi_region_myrmidens	ovn_arb_jellabas_way_black_gulf_mymidens	1
wh3_main_combi_region_matorca	ovn_arb_jellabas_way_black_gulf-deeper_black_gulf	1
wh3_main_combi_region_barak_varr	ovn_arb_jellabas_way_black_gulf-deeper_black_gulf	2
wh3_main_combi_region_stonemine_tower	ovn_arb_jellabas_way_black_gulf-deeper_black_gulf	3
wh3_main_combi_region_akendorf	ovn_arb_jellabas_way_deeper_black_gulf-akendorf	1
wh3_main_combi_region_karag_orrud	ovn_arb_jellabas_way_karag_orrud	1
