region	region_group	order
#regions_to_region_groups_junctions_tables;0;db/regions_to_region_groups_junctions_tables/ovn_araby_ow		
cr_oldworld_region_al_haikk	ovn_arb_jellabas_way_alhaikk-wadiassad	1
cr_oldworld_region_bakr_oasis	ovn_arb_jellabas_way_alhaikk-wadiassad	2
cr_oldworld_region_asad_oasis	ovn_arb_jellabas_way_alhaikk-wadiassad	3
cr_oldworld_region_nasr_oasis	ovn_arb_jellabas_way_wadiassad-wadituareg	1
cr_oldworld_region_muktarhin_oasis	ovn_arb_jellabas_way_wadiassad-wadituareg	2
cr_oldworld_region_tuareg_oasis	ovn_arb_jellabas_way_wadiassad-wadituareg	3
cr_oldworld_region_arjijil	ovn_arb_jellabas_way_wadiassad-fyrus	1
cr_oldworld_region_hashishins_lair	ovn_arb_jellabas_way_wadiassad-fyrus	2
cr_oldworld_region_fyrus	ovn_arb_jellabas_way_wadiassad-fyrus	3
cr_oldworld_region_arjijil	ovn_arb_jellabas_way_fyrus-hashasinslair	1
cr_oldworld_region_hashishins_lair	ovn_arb_jellabas_way_fyrus-hashasinslair	2
cr_oldworld_region_fyrus	ovn_arb_jellabas_way_fyrus-hashasinslair	3
cr_oldworld_region_malaluk_oasis	ovn_arb_jellabas_way_hashasinslair-elkhabbath	1
cr_oldworld_region_gobi_alain	ovn_arb_jellabas_way_hashasinslair-elkhabbath	2
cr_oldworld_region_djambiya	ovn_arb_jellabas_way_hashasinslair-elkhabbath	3
cr_oldworld_region_malaluk_oasis	ovn_arb_jellabas_way_elkhabbath-gobialain	1
cr_oldworld_region_gobi_alain	ovn_arb_jellabas_way_elkhabbath-gobialain	2
cr_oldworld_region_djambiya	ovn_arb_jellabas_way_elkhabbath-gobialain	3
cr_oldworld_region_malaluk_oasis	ovn_arb_jellabas_way_gobialain-djambiya	1
cr_oldworld_region_gobi_alain	ovn_arb_jellabas_way_gobialain-djambiya	2
cr_oldworld_region_djambiya	ovn_arb_jellabas_way_gobialain-djambiya	3
cr_oldworld_region_swamp_of_terror	ovn_arb_jellabas_way_djambiya-wdesolation	1
cr_oldworld_region_wreck_of_the_claw_of_usirian	ovn_arb_jellabas_way_djambiya-wdesolation	2
cr_oldworld_region_wreck_of_the_desolation	ovn_arb_jellabas_way_djambiya-wdesolation	3
cr_oldworld_region_teshert	ovn_arb_jellabas_way_wdesolation-leshert	1
cr_oldworld_region_salt_plain	ovn_arb_jellabas_way_wdesolation-leshert	2
cr_oldworld_region_gor_gazan	ovn_arb_jellabas_way_wdesolation-gorgazan	1
cr_oldworld_region_bloody_hand_hold	ovn_arb_jellabas_way_wdesolation-gorgazan	2
cr_oldworld_region_pointy_stick_hold	ovn_arb_jellabas_way_wdesolation-gorgazan	3
cr_oldworld_region_gronti_mingol	ovn_arb_jellabas_way_gorgazan-soqotra	1
cr_oldworld_region_soqotra	ovn_arb_jellabas_way_gorgazan-soqotra	2
cr_oldworld_region_splintered_bone_hold	ovn_arb_jellabas_way_gorgazan-soqotra	3
cr_oldworld_region_gronti_mingol	ovn_arb_jellabas_way_soqotra-gromtimingol	1
cr_oldworld_region_soqotra	ovn_arb_jellabas_way_soqotra-gromtimingol	2
cr_oldworld_region_splintered_bone_hold	ovn_arb_jellabas_way_soqotra-gromtimingol	3
cr_oldworld_region_blackclaw_lair	ovn_arb_jellabas_way_gromtimingol-stonemine	1
cr_oldworld_region_komar	ovn_arb_jellabas_way_gromtimingol-stonemine	2
cr_oldworld_region_stonemine_tower	ovn_arb_jellabas_way_gromtimingol-stonemine	3
cr_oldworld_region_citadel_of_myrmidia	ovn_arb_jellabas_way_stonemine-cmyrmidia	1
cr_oldworld_region_circle_of_the_sun	ovn_arb_jellabas_way_stonemine-cmyrmidia	2
cr_oldworld_region_tor_anrok	ovn_arb_jellabas_way_stonemine-cmyrmidia	3
cr_oldworld_region_barak_varr	ovn_arb_jellabas_way_cmyrmidia-dokkaraz	1
cr_oldworld_region_barag_dawazbag	ovn_arb_jellabas_way_cmyrmidia-dokkaraz	2
cr_oldworld_region_dok_karaz	ovn_arb_jellabas_way_cmyrmidia-dokkaraz	3
cr_oldworld_region_barak_varr	ovn_arb_jellabas_way_dokkaraz-barakvarr	1
cr_oldworld_region_barag_dawazbag	ovn_arb_jellabas_way_dokkaraz-barakvarr	2
cr_oldworld_region_dok_karaz	ovn_arb_jellabas_way_dokkaraz-barakvarr	3
cr_oldworld_region_vitrolle	ovn_arb_jellabas_way_barakvarr-islezul	1
cr_oldworld_region_the_isle_of_zul	ovn_arb_jellabas_way_barakvarr-islezul	2
cr_oldworld_region_zenres	ovn_arb_jellabas_way_barakvarr-islezul	3
cr_oldworld_region_akendorf	ovn_arb_jellabas_way_islezul-akendorf	1
cr_oldworld_region_munzig	ovn_arb_jellabas_way_islezul-akendorf	2
cr_oldworld_region_ulfraya	ovn_arb_jellabas_way_islezul-akendorf	3
cr_oldworld_region_myrmidens	ovn_arb_jellabas_way_stonemine-myrmidens	1
cr_oldworld_region_achaes	ovn_arb_jellabas_way_stonemine-myrmidens	2
cr_oldworld_region_kasos	ovn_arb_jellabas_way_stonemine-myrmidens	3
cr_oldworld_region_thessos	ovn_arb_jellabas_way_stonemine-myrmidens	4
cr_oldworld_region_myrmidens	ovn_arb_jellabas_way_myrmidens-thessos	1
cr_oldworld_region_achaes	ovn_arb_jellabas_way_myrmidens-thessos	2
cr_oldworld_region_kasos	ovn_arb_jellabas_way_myrmidens-thessos	3
cr_oldworld_region_thessos	ovn_arb_jellabas_way_myrmidens-thessos	4
cr_oldworld_region_khypris	ovn_arb_jellabas_way_thessos-khypris	1
cr_oldworld_region_matorca	ovn_arb_jellabas_way_thessos-khypris	2
cr_oldworld_region_mentreda	ovn_arb_jellabas_way_thessos-khypris	3
cr_oldworld_region_sartosa	ovn_arb_jellabas_way_elkhabbath-tileancoast	1
cr_oldworld_region_beffardo	ovn_arb_jellabas_way_elkhabbath-tileancoast	2
cr_oldworld_region_sartosa	ovn_arb_jellabas_way_tileancoast-sartosa	1
cr_oldworld_region_beffardo	ovn_arb_jellabas_way_tileancoast-sartosa	2
cr_oldworld_region_luccini	ovn_arb_jellabas_way_sartosa-mintopua	1
cr_oldworld_region_aldente	ovn_arb_jellabas_way_sartosa-mintopua	2
cr_oldworld_region_capelli	ovn_arb_jellabas_way_sartosa-mintopua	3
cr_oldworld_region_mintopua	ovn_arb_jellabas_way_sartosa-mintopua	4
cr_oldworld_region_luccini	ovn_arb_jellabas_way_mintopua-luccini	1
cr_oldworld_region_aldente	ovn_arb_jellabas_way_mintopua-luccini	2
cr_oldworld_region_capelli	ovn_arb_jellabas_way_mintopua-luccini	3
cr_oldworld_region_mintopua	ovn_arb_jellabas_way_mintopua-luccini	4
cr_oldworld_region_remas	ovn_arb_jellabas_way_luccini-riffraffa	1
cr_oldworld_region_rifraffa	ovn_arb_jellabas_way_luccini-riffraffa	2
cr_oldworld_region_stiani	ovn_arb_jellabas_way_luccini-riffraffa	3
cr_oldworld_region_remas	ovn_arb_jellabas_way_riffraffa-remas	1
cr_oldworld_region_rifraffa	ovn_arb_jellabas_way_riffraffa-remas	2
cr_oldworld_region_stiani	ovn_arb_jellabas_way_riffraffa-remas	3
cr_oldworld_region_trantio	ovn_arb_jellabas_way_remas-urbimo	1
cr_oldworld_region_ducieso	ovn_arb_jellabas_way_remas-urbimo	2
cr_oldworld_region_urbimo	ovn_arb_jellabas_way_remas-urbimo	3
cr_oldworld_region_viadaza	ovn_arb_jellabas_way_remas-urbimo	4
cr_oldworld_region_miragliano	ovn_arb_jellabas_way_urbimo-miragliano	1
cr_oldworld_region_campogrotta	ovn_arb_jellabas_way_urbimo-miragliano	2
cr_oldworld_region_ebino	ovn_arb_jellabas_way_urbimo-miragliano	3
cr_oldworld_region_ravola	ovn_arb_jellabas_way_urbimo-miragliano	4
cr_oldworld_region_magritta	ovn_arb_jellabas_way_tileancoast-magritta	1
cr_oldworld_region_javea	ovn_arb_jellabas_way_tileancoast-magritta	2
cr_oldworld_region_molena	ovn_arb_jellabas_way_tileancoast-magritta	3
cr_oldworld_region_almyria	ovn_arb_jellabas_way_tileancoast-magritta	4
cr_oldworld_region_llaqueno	ovn_arb_jellabas_way_magritta-siernos	1
cr_oldworld_region_reas	ovn_arb_jellabas_way_magritta-siernos	2
cr_oldworld_region_siernos	ovn_arb_jellabas_way_magritta-siernos	3
cr_oldworld_region_bilbali	ovn_arb_jellabas_way_siernos-bilbali	1
cr_oldworld_region_alquezaro	ovn_arb_jellabas_way_siernos-bilbali	2
cr_oldworld_region_barboza	ovn_arb_jellabas_way_siernos-bilbali	3
