key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/ovn_grudge_upgrade				
ovn_grudge_armour	ovn_grudge_armour_cost	ovn_grudge_armour_effect	ovn_grudge_armour	
ovn_grudge_inf	ovn_grudge_inf_cost	ovn_grudge_inf_effect	ovn_grudge_inf	
ovn_grudge_cross	ovn_grudge_cross_cost	ovn_grudge_cross_effect	ovn_grudge_cross	
ovn_grudge_can	ovn_grudge_can_cost	ovn_grudge_can_effect	ovn_grudge_can	
ovn_grudge_wep	ovn_grudge_wep	ovn_grudge_wep	ovn_grudge_wep	
ovn_grudge_ran	ovn_grudge_ran	ovn_grudge_ran	ovn_grudge_ran	
ovn_grudge_hel	ovn_grudge_hel	ovn_grudge_hel	ovn_grudge_hel	
ovn_grudge_cav	ovn_grudge_cav	ovn_grudge_cav	ovn_grudge_cav	
ovn_grudge_horse	ovn_grudge_horse	ovn_grudge_horse	ovn_grudge_horse	
ovn_grudge_welf	ovn_grudge_welf	ovn_grudge_welf	ovn_grudge_welf	
ovn_grudge_nuln_hal	ovn_grudge_nuln_hal	ovn_grudge_nuln_hal	ovn_grudge_nuln_hal	
ovn_grudge_ragnar	ovn_grudge_ragnar	ovn_grudge_ragnar	ovn_grudge_ragnar	
ovn_grudge_flagellants	ovn_grudge_flagellants	ovn_grudge_flagellants	ovn_grudge_flagellants	
ovn_grudge_carlsson	ovn_grudge_carlsson	ovn_grudge_carlsson	ovn_grudge_carlsson	
ovn_grudge_innercircle	ovn_grudge_innercircle	ovn_grudge_innercircle	ovn_grudge_innercircle	
ovn_grudge_skaven	ovn_grudge_skaven	ovn_grudge_skaven	ovn_grudge_skaven	
ovn_grudge_cavarmour	ovn_grudge_cavarmour	ovn_grudge_cavarmour	ovn_grudge_cavarmour	
