granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/obo_grudgebringers_data		
grudge_item_enchanted_shield	grudge_skill_enchanted_shield	1
grudge_item_grudgebringer_sword	grudge_skill_grudgebringer_sword	1
morgan_bernhardt_mount	morgan_bernhardt_mount	1
ludwig_uberdorf_steam_tank	ludwig_uberdorf_steam_tank	1
grudge_item_sword_of_eilor	rhox_ovn_grudge_item_sword_of_eilor	1
grudge_anc_rune_rune_of_fury	grudge_anc_rune_rune_of_fury	1
grudge_anc_rune_rune_of_might	grudge_anc_rune_rune_of_might	1
grudge_anc_rune_rune_of_parrying	grudge_anc_rune_rune_of_parrying	1
grudge_anc_rune_rune_of_striking	grudge_anc_rune_rune_of_striking	1
vladimir_stormbringer_mount	vladimir_stormbringer_mount	1
luther_flamenstrike_mount	luther_flamenstrike_mount	1
ludwig_uberdorf_mechanical_steed	ludwig_uberdorf_mechanical_steed	1
ludwig_uberdorf_mount	ludwig_uberdorf_mount	1
allor_griffon	allor_griffon	1
ceridan_eagle	ceridan_eagle	1
matthias_war_wagon	matthias_war_wagon	1
dwarf_envoy_oath_stone	dwarf_envoy_oath_stone	1
