attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn_grudgebringers_only	
unbreakable	ice_mage_vladimir_stormbringer
causes_fear	urblab_rotgut_mercenary_ogres
hide_forest	urblab_rotgut_mercenary_ogres
immune_to_psychology	urblab_rotgut_mercenary_ogres
ogre_charge	urblab_rotgut_mercenary_ogres
wallbreaker	urblab_rotgut_mercenary_ogres
expendable	black_avangers
hide_forest	black_avangers
expendable	flagellants_eusebio_the_bleak
hide_forest	flagellants_eusebio_the_bleak
unbreakable	flagellants_eusebio_the_bleak
formed_attack	azguz_bloodfist_dwarf_warriors
formed_attack	dargrimm_firebeard_dwarf_warriors
formed_attack	grudgebringer_infantry
hide_forest	grudgebringer_infantry
formed_attack	elrod_wood_elf_glade_guards
formed_attack	carlsson_guard
formed_attack	countess_guard
formed_attack	boris_von_raukov_4th_nuln_halberdiers
ignore_trees	ceridan
charge_defense_vs_large	ceridan
charge_reflection	ceridan
encourages	ceridan
hide_forest	ceridan
charge_defense	boris_von_raukov_4th_nuln_halberdiers
charge_reflection	boris_von_raukov_4th_nuln_halberdiers
hide_forest	boris_von_raukov_4th_nuln_halberdiers
charge_defense	countess_guard
charge_reflection	countess_guard
hide_forest	countess_guard
hide_forest	carlsson_guard
charge_defense	elrod_wood_elf_glade_guards
charge_reflection	elrod_wood_elf_glade_guards
encourages	elrod_wood_elf_glade_guards
hide_forest	elrod_wood_elf_glade_guards
ignore_trees	elrod_wood_elf_glade_guards
charge_defense_vs_large	azguz_bloodfist_dwarf_warriors
encourages	azguz_bloodfist_dwarf_warriors
hide_forest	azguz_bloodfist_dwarf_warriors
guerrilla_deploy	galed_elf_archers
ignore_trees	galed_elf_archers
mounted_fire_move	galed_elf_archers
stalk	galed_elf_archers
snipe	galed_elf_archers
formed_attack	dieter_schaeffer_carroburg_greatswords
hide_forest	dieter_schaeffer_carroburg_greatswords
unbreakable	dieter_schaeffer_carroburg_greatswords
causes_fear	ludwig_uberdorf_steam_tank_main_unit_attributes_group
causes_terror	ludwig_uberdorf_steam_tank_main_unit_attributes_group
unbreakable	ludwig_uberdorf_steam_tank_main_unit_attributes_group
mounted_fire_move	ludwig_uberdorf_steam_tank_main_unit_attributes_group
flying	ludwig_uberdorf_gyrobomber_unit_attributes_group
mounted_fire_move	ludwig_uberdorf_gyrobomber_unit_attributes_group
mounted_fire_move	ludwig_uberdorf_mount_unit_attributes_group
encourages	ludwig_uberdorf_unit_attributes_group
hide_forest	ludwig_uberdorf_unit_attributes_group
mounted_fire_move	ludwig_uberdorf_unit_attributes_group
hide_forest	ludwig_uberdorf_mount_unit_attributes_group
formed_attack	dwarf_envoy_dwarf_warriors
charge_defense_vs_large	dwarf_envoy_dwarf_warriors
encourages	dwarf_envoy_dwarf_warriors
hide_forest	dwarf_envoy_dwarf_warriors
