key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/grudgebringers_officers	
vannheims_75th	humanoid01
hu1_gru_morgan_firesword_shield	humanoid01
hu1_hr1_gru_morgan_firesword_shield_warhorse	humanoid01
hu1_wh3_kislev_hr1_warhorse_sword_and_banner	humanoid01e
hu1_carsson_guard_bannerman	humanoid01
hu1_vannheim_75th_hr1_warhorse_sword_and_shield	humanoid01
hu1c_ragnar_wolves_banner_officer_hr1	humanoid01c
hu1c_ragnar_wolves_hr1	humanoid01c
black_avangers_bannerman	humanoid01
dieter_schaeffer_carroburg_greatswords_bannerman	humanoid01
outlaw_infantry_bannerman	humanoid01
hu1_stormsword_and_shield	humanoid01
morgan_bernhardt	humanoid01
hu1_grudgebringer_hr1_warhorse_sword_and_shield	humanoid01
hu1_grudgebringer_hr1_warhorse_sword_and_banner	humanoid01
hu1_grudgebringer_bannerman	humanoid01
hu1_4th_nuln_halberdiers_bannerman	humanoid01
hu1_countess_guard_bannerman	humanoid01
keelers_longbows_banner	humanoid01
helmgart_bowmen_banner	humanoid01
stephan_weiss_outlaw_pistoliers_banner	humanoid01
grudgebringer_crossbow_banner	humanoid01
helmgart_bowmen	humanoid01
urblab_rotgut_mercenary_ogres_banner	humanoid13
vannheim_75th_banner	humanoid01
grail_knights_tristan_de_la_tourtristan_de_la_tour_banner	humanoid01
knights_of_the_realm_bertrand_le_grande_banner	humanoid01
ice_mage	humanoid01
elrod_wood_elf_glade_guards_banner	humanoid01d
galed_elf_archers_banner	humanoid01d
outlaw_infantry	humanoid01
klaus	humanoid01
grudgebringer_infantry_banner_new	humanoid01
flagellants_eusebio_the_bleak_banner	humanoid01
flagellants_eusebio_the_bleak_officer	humanoid01
hu1_black_grail_knights_hr1_warhorse_lance_sword_shield	humanoid01
hr1_skeletal_steee	horse01
hu1_dlc14_hr1_warhorse_repanse_black_grail_2handed_sword	humanoid01
hu1_empire_sword_and_pistol_tank	humanoid01
wm_gyrobomber02	gyrobomber01
hu1_empire_hr1_warhorse_sword_and_grenade_launcher_tank	humanoid01
