key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled
#building_chains_tables;9;db/building_chains_tables/ovn_grudgebringers_only									
wh_main_emp_cha_grudge_main			money	false	wh_main_emp_cha_grudge_main	tier_beastmen_warcamp.png	0		true
wh_main_emp_cha_grudge_recruit			military	false	wh_main_emp_cha_grudge_recruit		1		true
wh_main_emp_cha_grudge_recruit_race_other			military	false	wh_main_emp_cha_grudge_recruit_race_other		2		true
wh_main_emp_cha_grudge_wizard			military	false	wh_main_emp_cha_grudge_wizard		2		true
wh_main_emp_cha_grudge_worship			military	false	wh_main_emp_cha_grudge_worship		3		true
wh_main_emp_cha_grudge_growth			military	false	wh_main_emp_cha_grudge_growth		4		true
wh_main_emp_cha_grudge_paymaster			military	false	wh_main_emp_cha_grudge_paymaster		5		true
wh_main_emp_cha_grudge_blacksmith			military	false	wh_main_emp_cha_grudge_blacksmith		6		true
wh_main_emp_cha_grudge_income			money	false	wh_main_emp_cha_grudge_income		7		true
ovn_grudge_settlement_smith			military	false	wh2_main_sch_support1_smith		0		true
wh_main_emp_cha_grudge_storehouse			military	false	wh_main_emp_cha_grudge_storehouse		0		true
wh_main_emp_cha_grudge_replen			military	false	wh_main_emp_cha_grudge_replen		0		true
wh_main_emp_cha_grudge_gunpowder			military	false	wh_main_emp_cha_grudge_gunpowder		3		true
