ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_grudgebringers_only	
grudge_character_abilities_volley_of_high_arrows	wh_main_all_armour_piercing
grudge_character_abilities_volley_of_high_arrows	wh_main_projectile_effective_long_range
grudge_character_abilities_volley_of_high_arrows	wh_main_projectile_high_penetration
grudge_character_abilities_volley_of_dark_arrows	wh_main_all_armour_piercing
grudge_character_abilities_volley_of_dark_arrows	wh_main_projectile_effective_long_range
grudge_character_abilities_volley_of_dark_arrows	wh_main_projectile_high_penetration
grudge_hero_abilities_arrow_of_kurnous	wh_main_all_armour_piercing
grudge_hero_abilities_arrow_of_kurnous	wh_main_projectile_effective_long_range
grudge_hero_abilities_arrow_of_kurnous	wh_main_projectile_high_penetration
grudge_hero_abilities_shrapnel_shot	wh_dlc05_projectile_strikes_ahead
grudge_hero_abilities_shrapnel_shot	wh_main_all_strong_against_multiple
grudge_hero_abilities_pepperpot	wh_dlc06_projectile_cause_explosion
grudge_hero_abilities_pepperpot	wh_main_all_strong_against_multiple
grudge_weapon_abilities_hellfire_sword	wh2_main_spell_friendly_fire_explosion
grudge_weapon_abilities_hellfire_sword	wh_main_all_poor_vs_large
grudge_weapon_abilities_storm_sword	wh_main_all_magical
grudge_weapon_abilities_storm_sword	wh_main_all_strong_against_multiple
grudge_weapon_abilities_storm_sword	wh_main_all_weak_against_single
grudge_weapon_abilities_storm_sword	wh_main_bombardment_small_strike_aoe
grudge_item_abilities_banner_of_wrath	wh_main_all_magical
grudge_item_abilities_banner_of_wrath	wh_main_all_strong_against_multiple
grudge_item_abilities_banner_of_wrath	wh_main_all_weak_against_single
grudge_item_abilities_banner_of_wrath	wh_main_bombardment_small_strike_aoe
grudge_ability_swiftness_of_itzl	wh2_main_spell_escape
grudge_ability_swiftness_of_itzl	wh2_main_spell_friendly_fire_explosion
grudge_ability_swiftness_of_itzl	wh_main_all_poor_vs_large
grudge_ability_skv_verminous_valour	wh2_main_spell_escape
grudge_ability_skv_verminous_valour	wh2_main_spell_friendly_fire_explosion
grudge_ability_skv_verminous_valour	wh_main_all_poor_vs_large
grudge_weapon_abilities_grudgebringer_sword	wh2_main_all_magical_and_flaming_medium
grudge_weapon_abilities_grudgebringer_sword	wh2_main_all_weak_against_armour
grudge_weapon_abilities_grudgebringer_sword	wh_main_all_strong_against_multiple
grudge_weapon_abilities_grudgebringer_sword	wh_main_projectile_effective_long_range
