building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/ovn_grudgebringers_only	
wh_main_emp_cha_grudge_gunpowder	wh_main_bas_emp
ovn_grudge_settlement_smith	wh_main_bas_emp
wh_main_emp_cha_grudge_storehouse	wh_main_bas_emp
wh_main_emp_cha_grudge_replen	wh_main_bas_emp
wh_main_emp_cha_grudge_main	wh_main_bas_emp
wh_main_emp_cha_grudge_recruit	wh_main_bas_emp
wh_main_emp_cha_grudge_recruit_race_other	wh_main_bas_emp
wh_main_emp_cha_grudge_wizard	wh_main_bas_emp
wh_main_emp_cha_grudge_worship	wh_main_bas_emp
wh_main_emp_cha_grudge_growth	wh_main_bas_emp
wh_main_emp_cha_grudge_paymaster	wh_main_bas_emp
wh_main_emp_cha_grudge_blacksmith	wh_main_bas_emp
wh_main_emp_cha_grudge_income	wh_main_bas_emp
