key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/ovn_grudgebringer		
wh_main_emp_inf_halberdiers_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_inf_crossbowmen_ovn_gru	ovn_emp_grudgebringers	true
wh2_dlc13_emp_inf_archers_0_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_inf_handgunners_ovn_gru	ovn_emp_grudgebringers	true
wh3_main_ogr_inf_ogres_0_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_inf_greatswords_ovn_gru	ovn_emp_grudgebringers	true
wh_dlc04_emp_inf_free_company_militia_0_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_cav_empire_knights_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_cav_pistoliers_1_ovn_gru	ovn_emp_grudgebringers	true
wh_dlc04_emp_inf_flagellants_0_ovn_gru	ovn_emp_grudgebringers	true
wh_main_dwf_inf_dwarf_warrior_0_ovn_gru	ovn_emp_grudgebringers	true
wh_main_dwf_inf_slayers_ovn_gru	ovn_emp_grudgebringers	true
wh3_main_ogr_inf_maneaters_0_ovn_gru	ovn_emp_grudgebringers	true
wh3_main_ogr_inf_maneaters_2_ovn_gru	ovn_emp_grudgebringers	true
wh3_main_ogr_inf_maneaters_3_ovn_gru	ovn_emp_grudgebringers	true
wh_main_dwf_inf_dwarf_warrior_1_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_inf_swordsmen_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_inf_spearmen_0_ovn_gru	ovn_emp_grudgebringers	true
wh3_main_ogr_inf_maneaters_1_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_art_mortar_ovn_gru	ovn_emp_grudgebringers	true
wh_main_emp_art_great_cannon_ovn_gru	ovn_emp_grudgebringers	true
