battle_personality	land_unit	attach	riders_attachment_point
#land_units_to_battle_personalities_junctions_tables;0;db/land_units_to_battle_personalities_junctions_tables/grudgebringers_officers			
banner_cth_hr1_grb_bannerman_01	grudgebringer_cavalry	additional_officer	
gunther	grudgebringer_infantry	officer	
grudgebringer_cannon_officer	grudgebringer_cannon	officer	
grudgebringer_cavalry_klaus	grudgebringer_cavalry	officer	
azguz_bloodfist_dwarf_warriors_officer	azguz_bloodfist_dwarf_warriors	officer	
azguz_bloodfist_dwarf_warriors_banner_officer	azguz_bloodfist_dwarf_warriors	additional_officer	
dargrimm_firebeard_dwarf_warriors_officer	dargrimm_firebeard_dwarf_warriors	officer	
dargrimm_firebeard_dwarf_warriors_banner_officer	dargrimm_firebeard_dwarf_warriors	additional_officer	
urblab_rotgut_mercenary_ogres_officer	urblab_rotgut_mercenary_ogres	officer	
urblab_rotgut_mercenary_ogres_banner_officer	urblab_rotgut_mercenary_ogres	additional_officer	
grudgebringer_infantry_officer	grudgebringer_infantry	officer	
carlsson_cavalry	carlsson_cavalry	autonomous_rider	ap_riderposition_0
carlsson_cavalry_officer	carlsson_cavalry	officer	
carlsson_cavalry_officer2	carlsson_cavalry	additional_officer	
carlsson_guard_officer	carlsson_guard	officer	
carlsson_guard_officer2	carlsson_guard	additional_officer	
vannheim_75th_officer	vannheim_75th	officer	
black_avangers_officer	black_avangers	officer	
black_avangers_banner_officer	black_avangers	additional_officer	
boris_von_raukov	boris_von_raukov_4th_nuln_halberdiers	officer	
boris_von_raukov_4th_nuln_halberdiers_banner_officer	boris_von_raukov_4th_nuln_halberdiers	additional_officer	
grudgebringer_crossbow_officer	grudgebringer_crossbow	officer	
grudgebringer_crossbow_banner	grudgebringer_crossbow	additional_officer	
jurgen_muntz	jurgen_muntz_outlaw_infantry	officer	
outlaw_infantry_banner_officer	jurgen_muntz_outlaw_infantry	additional_officer	
countess_guard_officer1	countess_guard	officer	
countess_guard_banner_officer	countess_guard	additional_officer	
dieter_schaeffer	dieter_schaeffer_carroburg_greatswords	officer	
dieter_schaeffer_carroburg_greatswords_banner_officer	dieter_schaeffer_carroburg_greatswords	additional_officer	
grudgebringer_infantry_banner_officer	grudgebringer_infantry	additional_officer	
ragnar_wolves_officer	ragnar_wolves	officer	
ragnar_wolves_banner_officer	ragnar_wolves	additional_officer	
ragnar_wolves	ragnar_wolves	autonomous_rider	ap_riderposition_0
helmgart_bowmen_officer	helmgart_bowmen	officer	
helmgart_bowmen_banner	helmgart_bowmen	additional_officer	
keelers_longbows_officer	keelers_longbows	officer	
keelers_longbows_banner	keelers_longbows	additional_officer	
stephan_weiss_outlaw_pistoliers_banner	stephan_weiss_outlaw_pistoliers	additional_officer	
stephan_weiss_outlaw_pistoliers_officer	stephan_weiss_outlaw_pistoliers	officer	
vannheim_75th_banner	vannheim_75th	additional_officer	
grail_knights_tristan_de_la_tourtristan_de_la_tour_banner	grail_knights_tristan_de_la_tourtristan_de_la_tour	officer	
knights_of_the_realm_bertrand_le_grande_banner	knights_of_the_realm_bertrand_le_grande	officer	
elrod_wood_elf_glade_guards_officer	elrod_wood_elf_glade_guards	officer	
galed_elf_archers_officer	galed_elf_archers	officer	
galed_elf_archers_banner	galed_elf_archers	additional_officer	
elrod_wood_elf_glade_guards_banner	elrod_wood_elf_glade_guards	additional_officer	
grudgebringer_cavalry_banner_officer	grudgebringer_cavalry	additional_officer	
flagellants_eusebio_the_bleak_officer	flagellants_eusebio_the_bleak	officer	
flagellants_eusebio_the_bleak_banner	flagellants_eusebio_the_bleak	additional_officer	
ludwig_uberdorf_tank	ludwig_uberdorf_steam_tank_land_units	autonomous_rider	ap_turretposition_01
grudgebringer_crossbow_officer	grudgebringers_wagon	autonomous_rider	ap_crewposition_1
helmgart_bowmen_officer	grudgebringers_wagon	autonomous_rider	ap_crewposition_2
carlsson_guard_officer	grudgebringers_wagon	autonomous_rider	ap_crewposition_3
dieter_schaeffer	grudgebringers_wagon	autonomous_rider	ap_crewposition_4
keelers_longbows_officer	grudgebringers_wagon	autonomous_rider	ap_crewposition_5
ludwig_uberdorf	grudgebringers_wagon	autonomous_rider	ap_crewposition_6
dwarf_envoy_dwarf_warriors_banner_officer	dwarf_envoy_dwarf_warriors	officer	
