faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/obo_grudgebringers_data						
		1	grudge_skill_missile_ward		x	6
		1	grudge_skill_magic_ward		x	6
		1	grudge_skill_bst_champion_defensive_1		x	7
		1	grudge_skill_bst_champion_offensive_1		x	7
		1	morgan_bernhardt_per_skill_01		x	9
		1	grudge_skill_bernhardt_bonus_vs_undead		x	9
		1	grudge_skill_bernhardt_bonus_vs_chaos		x	9
		1	grudge_skill_bernhardt_bonus_vs_beastmen		x	9
		1	grudge_skill_bernhardt_bonus_vs_skaven		x	9
		1	grudge_skill_bernhardt_bonus_vs_greenskins		x	9
		1	grudge_skill_bernhardt_bonus_vs_dark_elves		x	9
		1	grudge_skill_bernhardt_bonus_vs_lizardmen		x	9
		1	grudge_skill_fire_ward		x	11
		1	grudge_skill_enchanted_shield		x	9
		1	grudge_skill_grudgebringer_sword		x	4
		1	grudge_skill_shadow_of_the_horned_rat		x	9
		1	grudge_skill_dark_omen		x	13
		1	ludwig_uberdorf_steam_tank		x	15
		1	rhox_grudge_ceridan_dedication_asuryan		x	9
		1	ovn_grudge_skill_ksl_frost_maiden_unique_04		x	19
		1	rhox_grudge_skill_hef_noble_unique_1		x	9
		1	rhox_grudge_skill_hef_noble_unique_2		x	9
		1	rhox_grudge_skill_hef_noble_unique_3		x	9
		1	grudge_skill_mercenary		x	4
