effect	effect_list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/experimental			
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_growth_1	province_to_province_own	-5.0000
wh_main_effect_province_growth_building	ovn_arb_growth_1	region_to_province_own	10.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_growth_2	province_to_province_own	-10.0000
wh_main_effect_province_growth_building	ovn_arb_growth_2	region_to_province_own	25.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_growth_3	province_to_province_own	-15.0000
wh_main_effect_province_growth_building	ovn_arb_growth_3	region_to_province_own	40.0000
wh3_main_effect_economy_gdp_slaves	ovn_arb_income_1	building_to_building_own	100.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_income_1	province_to_province_own	-15.0000
wh3_main_effect_economy_gdp_slaves	ovn_arb_income_2	building_to_building_own	350.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_income_2	province_to_province_own	-25.0000
wh3_main_effect_economy_gdp_slaves	ovn_arb_income_3	building_to_building_own	500.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_income_3	province_to_province_own	-35.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_order_1	province_to_province_own	-10.0000
wh_main_effect_public_order_base	ovn_arb_order_1	province_to_province_own_unseen	1.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_order_2	province_to_province_own	-15.0000
wh_main_effect_public_order_base	ovn_arb_order_2	province_to_province_own_unseen	3.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_order_3	province_to_province_own	-20.0000
wh_main_effect_public_order_base	ovn_arb_order_3	province_to_province_own_unseen	5.0000
wh3_main_effect_economy_gdp_slaves	ovn_arb_port_1	building_to_building_own	100.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_port_1	province_to_province_own	-10.0000
wh3_main_effect_economy_gdp_slaves	ovn_arb_port_2	building_to_building_own	300.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_port_2	province_to_province_own	-30.0000
wh3_main_effect_economy_gdp_slaves	ovn_arb_port_3	building_to_building_own	500.0000
wh3_main_pooled_resource_def_slaves_buildings_used	ovn_arb_port_3	province_to_province_own	-50.0000
