id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/rhox_araby				
2225481570	rhox_araby_jaffar_conquer_incident_araby_united	GEN_TARGET_NONE		default
2225481571	rhox_araby_jaffar_conquer_incident_araby_united	VAR_CHANCE	100	default
2225481572	rhox_araby_jaffar_conquer_incident_teb_complete	GEN_TARGET_NONE		default
2225481573	rhox_araby_jaffar_conquer_incident_teb_complete	VAR_CHANCE	100	default
2225481574	rhox_araby_jaffar_conquer_incident_bretonnia_foothold	GEN_TARGET_NONE		default
2225481575	rhox_araby_jaffar_conquer_incident_bretonnia_foothold	VAR_CHANCE	100	default
2225481576	rhox_araby_jaffar_conquer_incident_bretonnia_complete	GEN_TARGET_NONE		default
2225481577	rhox_araby_jaffar_conquer_incident_bretonnia_complete	VAR_CHANCE	100	default
2225481578	rhox_araby_fatandira_araby_100	GEN_TARGET_NONE		default
2225481579	rhox_araby_fatandira_araby_100	VAR_CHANCE	100	default
2225481580	rhox_araby_fatandira_tk_100	GEN_TARGET_NONE		default
2225481581	rhox_araby_fatandira_tk_100	VAR_CHANCE	100	default
