unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/rhox_albion					
rhox_albion_resource_factor_events	events	rhox_albion_wanted	-2147483647	2147483647	
rhox_albion_resource_factor_casualty	armies_attacked_and_defeated	rhox_albion_wanted	0	2147483647	
rhox_albion_resource_factor_harassment	raiding_sacking	rhox_albion_wanted	0	2147483647	
rhox_albion_resource_factor_lost_general	lords_lost	rhox_albion_wanted	-2147483647	0	
rhox_albion_resource_factor_neutral	inactivity	rhox_albion_wanted	-2147483647	0	
rhox_albion_resource_factor_settlement	settlements_captured	rhox_albion_wanted	0	2147483647	
rhox_albion_resource_factor_wanted_reset	hostility_level_reset	rhox_albion_wanted	-2147483647	0	
rhox_albion_resource_factor_building_ports	ovn_alb_waystone_built	rhox_albion_progress	0	2147483647	
rhox_albion_resource_factor_losing_settlement	lost_territory	rhox_albion_progress	-2147483647	0	
rhox_albion_resource_factor_siege	settlements_captured	rhox_albion_progress	0	2147483647	
