unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/ovn_grudge_upgrade		
grudgebringer_cannon	ovn_grudge_armour	true
grudgebringer_cannon	ovn_grudge_can	true
imperial_cannon_darius_flugenheim	ovn_grudge_armour	true
helmgart_bowmen	ovn_grudge_armour	true
dargrimm_firebeard_dwarf_warriors	ovn_grudge_armour	true
urblab_rotgut_mercenary_ogres	ovn_grudge_armour	true
grail_knights_tristan_de_la_tourtristan_de_la_tour	ovn_grudge_armour	true
galed_elf_archers	ovn_grudge_armour	true
black_avangers	ovn_grudge_armour	true
carlsson_guard	ovn_grudge_armour	true
vannheim_75th	ovn_grudge_armour	true
grudgebringer_infantry	ovn_grudge_armour	true
grudgebringer_infantry	ovn_grudge_inf	true
grudgebringer_crossbow	ovn_grudge_armour	true
grudgebringer_crossbow	ovn_grudge_cross	true
keelers_longbows	ovn_grudge_armour	true
azguz_bloodfist_dwarf_warriors	ovn_grudge_armour	true
treeman_knarlroot	ovn_grudge_armour	true
elrod_wood_elf_glade_guards	ovn_grudge_armour	true
carlsson_cavalry	ovn_grudge_armour	true
countess_guard	ovn_grudge_armour	true
treeman_gnarl_fist	ovn_grudge_armour	true
ragnar_wolves	ovn_grudge_armour	true
flagellants_eusebio_the_bleak	ovn_grudge_armour	true
uter_blomkwist_imperial_mortar	ovn_grudge_armour	true
dwarf_envoy_dwarf_warriors	ovn_grudge_armour	true
dieter_schaeffer_carroburg_greatswords	ovn_grudge_armour	true
knights_of_the_realm_bertrand_le_grande	ovn_grudge_armour	true
jurgen_muntz_outlaw_infantry	ovn_grudge_armour	true
boris_von_raukov_4th_nuln_halberdiers	ovn_grudge_armour	true
stephan_weiss_outlaw_pistoliers	ovn_grudge_armour	true
grudgebringer_cavalry	ovn_grudge_armour	true
wh2_dlc13_emp_inf_archers_0_ovn_gru	ovn_grudge_armour	true
wh3_main_ogr_inf_maneaters_0_ovn_gru	ovn_grudge_armour	true
wh3_main_ogr_inf_maneaters_1_ovn_gru	ovn_grudge_armour	true
wh3_main_ogr_inf_maneaters_2_ovn_gru	ovn_grudge_armour	true
wh3_main_ogr_inf_maneaters_3_ovn_gru	ovn_grudge_armour	true
wh3_main_ogr_inf_ogres_0_ovn_gru	ovn_grudge_armour	true
wh_dlc04_emp_inf_flagellants_0_ovn_gru	ovn_grudge_armour	true
wh_dlc04_emp_inf_free_company_militia_0_ovn_gru	ovn_grudge_armour	true
wh_main_dwf_inf_dwarf_warrior_0_ovn_gru	ovn_grudge_armour	true
wh_main_dwf_inf_dwarf_warrior_1_ovn_gru	ovn_grudge_armour	true
wh_main_dwf_inf_slayers_ovn_gru	ovn_grudge_armour	true
wh_main_emp_art_great_cannon_ovn_gru	ovn_grudge_armour	true
wh_main_emp_art_mortar_ovn_gru	ovn_grudge_armour	true
wh_main_emp_cav_empire_knights_ovn_gru	ovn_grudge_armour	true
wh_main_emp_cav_pistoliers_1_ovn_gru	ovn_grudge_armour	true
wh_main_emp_inf_crossbowmen_ovn_gru	ovn_grudge_armour	true
wh_main_emp_inf_greatswords_ovn_gru	ovn_grudge_armour	true
wh_main_emp_inf_halberdiers_ovn_gru	ovn_grudge_armour	true
wh_main_emp_inf_handgunners_ovn_gru	ovn_grudge_armour	true
wh_main_emp_inf_spearmen_0_ovn_gru	ovn_grudge_armour	true
wh_main_emp_inf_swordsmen_ovn_gru	ovn_grudge_armour	true
