key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost	recruitment_button_active_icon_path	recruitment_button_background_icon_path	audio_force_contextual_vo
#agent_subtypes_tables;3;db/agent_subtypes_tables/ovn_grudgebringers_only																								
morgan_bernhardt	false	false	ui/campaign ui/agents/wh_main_emp_champion.png	morgan_bernhardt	ovn_vo_actor_Empire_Morgan_Bernhardt	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_saved_loaded		false	true	850			false
ceridan	false	false	ui/campaign ui/agents/wh2_main_hef_runesmith.png	ceridan	wh2_main_vo_actor_High_Elves_Noble	false	1	false	true	false	false				false	false	cannot_be_saved_loaded		false	true	700			false
ice_mage_vladimir_stormbringer	false	true	ui/campaign ui/Agents/wh3_main_lore_ice.png	ice_mage_vladimir_stormbringer	wh3_main_vo_actor_Kislev_Boyar	false	1	false	true	false	false		wh3_main_lore_of_ice		false	false	cannot_be_saved_loaded	wh3_main_vo_culture_Kislev	false	true	900			false
dwarf_envoy	false	false	ui/campaign ui/agents/wh_main_dwf_champion.png	dwarf_envoy	wh_main_vo_actor_Dwarf_Thane	false	-1	false	true	false	false				false	false	cannot_be_saved_loaded		false	true	700			false
gaston	false	false	ui/campaign ui/agents/wh_main_vmp_champion.png	gaston	wh_main_vo_actor_Vampire_WightKing	false	1	false	true	false	false				false	false	cannot_be_saved_loaded		false	true	500			false
ludwig_uberdorf_agent_subtype	false	false	ui/campaign ui/agents/wh_main_dwf_engineer.png	ludwig_uberdorf	wh_main_vo_actor_Empire_Captain	false	1	false	true	false	false				false	false	cannot_be_saved_loaded		false	true	500			false
ovn_grudge_camp_lord	false	false	ui/campaign ui/agents/wh3_main_ogr_tyrant_camp.png	wh_main_emp_cha_general_0	wh_main_vo_actor_Empire_General	true	0	false	true	false	true	ovn_grudge_camp_lord			false	true	cannot_be_saved_loaded		false	true	1350			false
ovn_grudge_grn_mon_giant_boss	false	false		ovn_grudge_grn_mon_giant_boss	wh_main_vo_actor_default	false	-1	false	true	false	true				false	false	cannot_be_saved_loaded		false	true	750			false
ovn_grudge_grn_river_troll_hag	false	true	ui/campaign ui/agents/wh2_main_lore_dark_magic.png	wh2_dlc15_grn_cha_river_troll_hag_0	wh2_dlc15_vo_actor_Troll_River_Troll_Hag	false	-1	true	true	false	true				false	false	cannot_be_saved_loaded	WH_MAIN_VO_CULTURE_TROLL	false	true	1200			false
matthias	false	false	ui/campaign ui/agents/wh_main_emp_spy.png	matthias	wh2_dlc13_vo_actor_Doctor_Hertwig_Van_Hal	false	-1	false	true	false	false			names_emp_empire	false	false	cannot_be_saved_loaded		false	true	600			false
luther_flamenstrike	false	true	ui/campaign ui/agents/wh_main_lore_fire.png	luther_flamenstrike	wh_main_vo_actor_Empire_General	false	-1	false	true	false	false		wh_main_lore_fire	names_emp_empire	false	false	cannot_be_saved_loaded		false	true	900			false
ilmarin	false	false	ui/campaign ui/agents/wh2_main_hef_runesmith.png	ilmarin	wh_dlc05_vo_actor_Wood_Elves_Waystalker	false	-1	false	true	false	false			names_emp_empire	false	false	cannot_be_saved_loaded		false	true	700			false
allor	false	true	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	allor	vo_actor_Empire_dlc03_AmberWizard	false	-1	false	true	false	false		wh_dlc03_lore_beasts_upgraded	names_emp_empire	false	false	cannot_be_saved_loaded		false	true	900			false
