character_name	skill	level
#battle_set_piece_armies_characters_skills_tables;2;db/battle_set_piece_armies_characters_skills_tables/ovn_grudgebringers		
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_magic_ice_02_ice_sheet_lord	1
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_magic_ice_03_frost_blades_lord	1
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_magic_ice_04_death_frost_lord	1
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_magic_ice_08_heart_of_winter_lord	1
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_magic_ice_01_ice_maidens_kiss_lord	1
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_magic_ice_05_frost_shield	1
ice_mage_vladimir_stormbringer	wh3_main_skill_ksl_wizard_unique_guardian_call	1
luther_flamenstrike	wh_main_skill_all_magic_all_11_arcane_conduit	1
luther_flamenstrike	wh_main_skill_all_magic_fire_01_fireball	1
luther_flamenstrike	wh_main_skill_all_magic_fire_02_cascading_fire-cloak	1
luther_flamenstrike	wh_main_skill_all_magic_fire_03_flaming_sword_of_rhuin	1
luther_flamenstrike	wh_main_skill_all_magic_fire_04_kindleflame	1
luther_flamenstrike	wh_main_skill_all_magic_fire_05_the_burning_head	1
luther_flamenstrike	wh_main_skill_all_magic_fire_09_piercing_bolts_of_burning	1
luther_flamenstrike	wh_main_skill_all_magic_fire_10_flame_storm	1
