id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/ovn_araby_special		
740265440	ovn_special_palace_of_the_great_sultan	ovn_arb_inf_arabyan_guard
740265441	ovn_special_palace_of_the_great_sultan	ovn_arb_inf_arabyan_guard
740265442	ovn_special_golden_magus_paradise_1	ovn_arb_settlement_major_1
740265443	ovn_special_golden_magus_paradise_2	ovn_arb_settlement_major_2
740265444	ovn_special_golden_magus_paradise_3	ovn_arb_settlement_major_3
740265445	ovn_special_golden_magus_paradise_4	ovn_arb_settlement_major_4
740265446	ovn_special_golden_magus_paradise_5	ovn_arb_settlement_major_5
740265447	ovn_special_fortress_of_nafel_muq	ovn_arb_defence_minor_1
740265448	ovn_special_the_black-gold_tower	ovn_arb_defence_minor_1
740265449	ovn_special_atalan_mountain_peaks	ovn_arb_mon_giant_vulture_feral
740265450	ovn_special_college_of_sorcerers	ovn_arb_cha_magician_desert_0
