id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/rhox_albion				
74262637	rhox_albion_extra_reinforcement_1	VAR_CHANCE	100	default
74262638	rhox_albion_extra_reinforcement_2	GEN_TARGET_NONE		default
74262639	rhox_albion_extra_reinforcement_3	VAR_CHANCE	100	default
74262640	rhox_albion_extra_reinforcement_3	GEN_TARGET_NONE		default
74262641	rhox_albion_extra_reinforcement_1	GEN_TARGET_NONE		default
74262642	rhox_albion_extra_reinforcement_2	VAR_CHANCE	100	default
74262643	rhox_albion_wanted_level_0	GEN_TARGET_NONE		default
74262644	rhox_albion_wanted_level_0	VAR_CHANCE	100	default
74262645	rhox_albion_wanted_level_1	VAR_CHANCE	100	default
74262646	rhox_albion_wanted_level_1	GEN_TARGET_NONE		default
74262647	rhox_albion_wanted_level_2	VAR_CHANCE	100	default
74262648	rhox_albion_wanted_level_2	GEN_TARGET_NONE		default
74262649	rhox_albion_wanted_level_3	GEN_TARGET_NONE		default
74262650	rhox_albion_wanted_level_3	VAR_CHANCE	100	default
74262651	rhox_albion_wanted_level_4	VAR_CHANCE	100	default
74262652	rhox_albion_wanted_level_4	GEN_TARGET_NONE		default
74262653	rhox_albion_wanted_level_5	GEN_TARGET_NONE		default
74262654	rhox_albion_wanted_level_5	VAR_CHANCE	100	default
74262655	rhox_albion_wanted_level_decreased	GEN_TARGET_NONE		default
74262656	rhox_albion_wanted_level_decreased	VAR_CHANCE	100	default
74262657	rhox_albion_wanted_level_reset	GEN_TARGET_NONE		default
74262658	rhox_albion_wanted_level_reset	VAR_CHANCE	100	default
74262659	rhox_albion_progress_level_increase	VAR_CHANCE	100	default
74262660	rhox_albion_progress_level_increase	GEN_TARGET_MODEL		default
74262661	rhox_albion_incident_hostility_invasion	GEN_TARGET_NONE		default
74262662	rhox_albion_incident_hostility_invasion	VAR_CHANCE	100	default
