building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/ovn_fimir_vanilla_special	
wh3_dlc24_special_fu_chow_port	ovn_fimir
wh2_dlc14_special_copher_port	ovn_fimir
wh2_dlc14_special_dragon_isle_port	ovn_fimir
wh2_dlc14_special_nagashizzar_other	ovn_fimir
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth	ovn_fimir
wh2_dlc15_special_ka_sabar_city_of_bronze	ovn_fimir
wh2_main_special_chamber_of_visions	ovn_fimir
wh2_main_special_clar_karond_lairs_other	ovn_fimir
wh2_main_special_fortress_gate_eagle_untainted	ovn_fimir
wh2_main_special_fortress_gate_griffon_untainted	ovn_fimir
wh2_main_special_fortress_gate_phoenix_untainted	ovn_fimir
wh2_main_special_fortress_gate_unicorn_untainted	ovn_fimir
wh2_main_special_ghrond_convent_of_sorcery_other	ovn_fimir
wh2_main_special_golden_tower_of_the_gods_other	ovn_fimir
wh2_main_special_hag_graef_mines	ovn_fimir
wh2_main_special_hexoatl_stellar_pyramids_other	ovn_fimir
wh2_main_special_itza_emerald_pools	ovn_fimir
wh2_main_special_lothern_port_other	ovn_fimir
wh2_main_special_pyramid_of_nagash_other	ovn_fimir
wh2_main_special_quintex	ovn_fimir
wh2_main_special_shrine_of_asuryan_other	ovn_fimir
wh2_main_special_shrine_of_khaine_other	ovn_fimir
wh2_main_special_tower_of_hoeth_other	ovn_fimir
wh2_main_special_ziggurat_of_dawn_beacon_chs	ovn_fimir
wh3_main_special_settlement_bastion_other	ovn_fimir
wh3_main_special_settlement_fort_other	ovn_fimir
wh3_main_special_standing_stones_others	ovn_fimir
wh3_main_special_the_great_desert_other	ovn_fimir
wh_main_special_erengrad_port	ovn_fimir
wh_main_special_marienburg_port	ovn_fimir
wh2_twa03_special_ogham_stones	ovn_fimir
wh3_dlc23_special_fortress_of_dawn_dawns_harbour	ovn_fimir
