campaign_group	effect_bundle	effect_type	optional_icon
#campaign_group_pooled_resource_effects_tables;3;db/campaign_group_pooled_resource_effects_tables/rhox_araby			
rhox_fatandira_pooled_resource_1	rhox_fatandira_pooled_resource_1	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_2	rhox_fatandira_pooled_resource_2	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_3	rhox_fatandira_pooled_resource_3	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_4	rhox_fatandira_pooled_resource_4	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_5	rhox_fatandira_pooled_resource_5	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_6	rhox_fatandira_pooled_resource_6	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_7	rhox_fatandira_pooled_resource_7	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_8	rhox_fatandira_pooled_resource_8	ABSOLUTE_VALUE	
rhox_fatandira_pooled_resource_9	rhox_fatandira_pooled_resource_9	ABSOLUTE_VALUE	
rhox_araby_estate_bundle_nomad_chief	rhox_araby_estate_bundle_nomad_chief	ABSOLUTE_VALUE	
rhox_araby_estate_bundle_urban_elite	rhox_araby_estate_bundle_urban_elite	ABSOLUTE_VALUE	
rhox_araby_estate_bundle_evenly_matched	rhox_araby_estate_bundle_evenly_matched	ABSOLUTE_VALUE	
