key	parent_set
#building_chain_sets_tables;0;db/building_chain_sets_tables/ovn_araby_special	
ovn_secondary_addon_landmark_tomb_of_the_death_scarab	
ovn_secondary_addon_landmark_palace_of_the_great_sultan	
ovn_secondary_addon_landmark_gardens_of_bel-aliad	
ovn_secondary_addon_landmark_tomb_of_mullah_akland	
ovn_secondary_addon_landmark_ivory_palace_of_ka-sabar	
ovn_secondary_addon_landmark_madrasat_el-sehr	
ovn_secondary_addon_landmark_fortress_of_nafel_muq	
ovn_secondary_addon_landmark_the_black-gold_tower	
ovn_secondary_addon_landmark_crypt_of_abdul_ben_rachid	
ovn_secondary_addon_landmark_portal_of_twilight	
ovn_secondary_addon_landmark_golden_magus_paradise	wh3_main_primary_core_generic_minimal
ovn_secondary_addon_landmark_galleons_graveyard_wreck	
ovn_secondary_addon_landmark_copher_port_araby	
ovn_secondary_addon_landmark_college_of_sorcerers	
ovn_secondary_addon_landmark_great_slave_market	
ovn_secondary_addon_landmark_atalan_mountain_peaks	
ovn_secondary_addon_landmark_galleons_graveyard_magus	
