id	duration	effect_type	requested_stance	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;44;db/special_ability_phases_tables/ovn_araby_only																														
arb_fatandira_desert_feint	22.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_fatandira_blades_demise_skill	41.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_shadow_buff_attack_passive	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_jaffar_serpent_djinn	8.0000	negative		false	false	0.0000	0.0000	0.0000	2.0000	2	25	false	0.0000	0.0000	false	0		wh_main_generic_imbuement_poison		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_golden_magus_burning_scimitar_ability	28.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	10		wh_main_spell_fire_flaming_sword_of_rhuin	wh_main_spell_fire_flaming_sword_of_rhuin	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_golden_magus_mistral	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_magic_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_golden_magus_scirocco	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_defence_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_golden_magus_wrath_djinn_passive	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
arb_jaffar_aura_will	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
blood_howl	25.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	ovn_contact_bloodhowl	wh2_main_generic_buff_speed_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_lore_passive_blessing_of_the_elements	13.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_spell_desert_curse_of_the_djinn	21.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		ovn_spell_desert_curse_of_the_djinn	wh2_tmb_spell_nehekhara_usekhps_incantation_of_dessication	false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_spell_desert_curse_of_the_djinn_upgraded	21.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		ovn_spell_desert_curse_of_the_djinn	wh2_tmb_spell_nehekhara_usekhps_incantation_of_dessication	false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_spell_desert_quicksand_1	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc14_abilities_seismic_snare		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_spell_desert_quicksand_2	10.0000	negative		true	false	0.0000	0.0000	0.0000	1.0000	6	25	false	0.0000	0.0000	false	0		wh2_dlc14_abilities_seismic_snare		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_spell_desert_quicksand_upgraded_1	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc14_abilities_seismic_snare		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_spell_desert_quicksand_upgraded_2	10.0000	negative		true	false	0.0000	0.0000	0.0000	1.0000	6	25	false	0.0000	0.0000	false	0		wh2_dlc14_abilities_seismic_snare		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
roy_phase_active_arb_doppelgang	60.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0			wh2_dlc14_ability_doppelgang	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
roy_phase_active_arb_strike_from_the_shadows	55.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh2_main_unit_abilities_concealment_bombs	wh2_main_unit_abilities_concealment_bombs	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_unit_contact_pressure_of_the_abyss	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_unit_contact_pocket_sand	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
ovn_unit_contact_four_winds	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
