existing_building_chain_key	existing_building_level_inclusive_end	existing_building_level_inclusive_start	potential_buiding_chain_key	potential_building_level_inclusive_end	potential_building_level_inclusive_start	synergy_policy_key	existing_building_instance	existing_building_super_chain	potential_building_instance	potential_building_super_chain	synergy_scope_key	synergy_level_key
#cai_construction_system_synergies_tables;1;db/cai_construction_system_synergies_tables/ovn_fimir_settlements												
ovn_fimir_settlement_major			ovn_fimir_dirach			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
ovn_fimir_settlement_major			ovn_fimir_infantry	ovn_fimir_infantry_1	ovn_fimir_infantry_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
ovn_fimir_settlement_major			ovn_fimir_fianna			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
ovn_fimir_settlement_major			ovn_fimir_daemons			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support5_extra	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
ovn_fimir_settlement_major			ovn_fimir_marsh	ovn_fimir_marsh_1	ovn_fimir_marsh_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
ovn_fimir_settlement_major			ovn_fimir_order			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure3_order	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
ovn_fimir_settlement_major	ovn_fimir_settlement_major_5	ovn_fimir_settlement_major_1	ovn_fimir_marsh	ovn_fimir_marsh_1	ovn_fimir_marsh_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_absolute
ovn_fimir_settlement_minor			ovn_fimir_dirach	ovn_fimir_dirach_1	ovn_fimir_dirach_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
ovn_fimir_settlement_minor			ovn_fimir_infantry			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
ovn_fimir_settlement_minor			ovn_fimir_marsh			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
