agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/ovn_araby_only			
wizard	ovn_arb_sultanate_of_all_araby	arb_magician_life	false
wizard	ovn_arb_sultanate_of_all_araby	arb_magician_desert	false
wizard	ovn_arb_sultanate_of_all_araby	arb_magician_fire	false
wizard	ovn_arb_sultanate_of_all_araby	arb_magician_heavens	false
general	ovn_arb_sultanate_of_all_araby	arb_sultan_jaffar	false
spy	ovn_arb_sultanate_of_all_araby	arb_nomad	false
champion	ovn_arb_sultanate_of_all_araby	arb_champion	false
champion	ovn_arb_sultanate_of_all_araby	arb_champion_wazar	false
general	ovn_arb_sultanate_of_all_araby	arb_sheikh	false
general	ovn_arb_sultanate_of_all_araby	arb_sheikh_mehmed	false
general	ovn_arb_sultanate_of_all_araby	arb_vizier_fire	false
general	ovn_arb_sultanate_of_all_araby	arb_vizier_life	false
general	ovn_arb_sultanate_of_all_araby	arb_vizier_heavens	false
general	ovn_arb_sultanate_of_all_araby	arb_vizier_desert	false
general	ovn_arb_sultanate_of_all_araby	arb_caravan_master	false
wizard	ovn_arb_aswad_scythans	arb_magician_life	false
wizard	ovn_arb_aswad_scythans	arb_magician_desert	false
wizard	ovn_arb_aswad_scythans	arb_magician_fire	false
wizard	ovn_arb_aswad_scythans	arb_magician_heavens	false
spy	ovn_arb_aswad_scythans	arb_nomad	false
champion	ovn_arb_aswad_scythans	arb_champion	false
champion	ovn_arb_aswad_scythans	arb_champion_wazar	false
general	ovn_arb_aswad_scythans	arb_sheikh	false
general	ovn_arb_aswad_scythans	arb_sheikh_mehmed	false
general	ovn_arb_aswad_scythans	arb_vizier_fire	false
general	ovn_arb_aswad_scythans	arb_vizier_life	false
general	ovn_arb_aswad_scythans	arb_vizier_heavens	false
general	ovn_arb_aswad_scythans	arb_vizier_desert	false
general	ovn_arb_aswad_scythans	arb_fatandira	false
general	ovn_arb_aswad_scythans	arb_caravan_master	false
wizard	ovn_arb_golden_fleet	arb_magician_life	false
wizard	ovn_arb_golden_fleet	arb_magician_desert	false
wizard	ovn_arb_golden_fleet	arb_magician_fire	false
wizard	ovn_arb_golden_fleet	arb_magician_heavens	false
spy	ovn_arb_golden_fleet	arb_nomad	false
champion	ovn_arb_golden_fleet	arb_champion	false
champion	ovn_arb_golden_fleet	arb_champion_wazar	false
general	ovn_arb_golden_fleet	arb_sheikh	false
general	ovn_arb_golden_fleet	arb_sheikh_mehmed	false
general	ovn_arb_golden_fleet	arb_vizier_fire	false
general	ovn_arb_golden_fleet	arb_vizier_life	false
general	ovn_arb_golden_fleet	arb_vizier_heavens	false
general	ovn_arb_golden_fleet	arb_vizier_desert	false
general	ovn_arb_golden_fleet	arb_golden_magus	false
general	ovn_arb_golden_fleet	arb_caravan_master	false
wizard	ovn_arb_sultanate_of_el_kalabad	arb_magician_life	false
wizard	ovn_arb_sultanate_of_el_kalabad	arb_magician_desert	false
wizard	ovn_arb_sultanate_of_el_kalabad	arb_magician_fire	false
wizard	ovn_arb_sultanate_of_el_kalabad	arb_magician_heavens	false
spy	ovn_arb_sultanate_of_el_kalabad	arb_nomad	false
champion	ovn_arb_sultanate_of_el_kalabad	arb_champion	false
champion	ovn_arb_sultanate_of_el_kalabad	arb_champion_wazar	false
general	ovn_arb_sultanate_of_el_kalabad	arb_sheikh	false
general	ovn_arb_sultanate_of_el_kalabad	arb_sheikh_mehmed	false
general	ovn_arb_sultanate_of_el_kalabad	arb_vizier_fire	false
general	ovn_arb_sultanate_of_el_kalabad	arb_vizier_life	false
general	ovn_arb_sultanate_of_el_kalabad	arb_vizier_heavens	false
general	ovn_arb_sultanate_of_el_kalabad	arb_vizier_desert	false
general	ovn_arb_sultanate_of_el_kalabad	arb_caravan_master	false
wizard	mixer_arb_araby_dummy	arb_magician_life	false
wizard	mixer_arb_araby_dummy	arb_magician_desert	false
wizard	mixer_arb_araby_dummy	arb_magician_fire	false
wizard	mixer_arb_araby_dummy	arb_magician_heavens	false
spy	mixer_arb_araby_dummy	arb_nomad	false
