key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/ovn_araby_only							
ovn_arb_elephant_cannon	wm_elephant_cannon01	ovn_arb_elephant_cannon	ovn_arb_elephant_cannon	ovn_arb_elephant_cannon	false	false	false
ovn_arb_elephant_cannon_rider1	hu1_dlc13_wagon01_hellblaster_crew_1	ovn_arb_artillery_crew	wh2_dlc09_tmb_chariot_rider_bow_360		false	false	false
ovn_arb_elephant_cannon_rider2	hu1_dlc13_wagon01_hellblaster_crew_1	ovn_arb_artillery_crew	wh2_dlc09_tmb_chariot_rider_bow_360		false	false	false
ovn_arb_cha_magician_life_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_ch_magician_life	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_desert_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_ch_magician_desert	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_fire_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_ch_magician_fire	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_heavens_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_ch_magician_heavens	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_life_camel	hu1_araby_cm1_camel_spear_and_shield	ovn_arb_ch_magician_life	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_desert_camel	hu1_araby_cm1_camel_spear_and_shield	ovn_arb_ch_magician_desert	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_fire_camel	hu1_araby_cm1_camel_spear_and_shield	ovn_arb_ch_magician_fire	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_magician_heavens_camel	hu1_araby_cm1_camel_spear_and_shield	ovn_arb_ch_magician_heavens	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_golden_magus_camel	hu1_araby_cm1_camel_spear_and_shield	ovn_arb_cha_golden_magus_0	wh_main_infantry_rider_character_blood		true	true	false
ovn_arb_cha_sultan_jaffar_camel	hu1_araby_cm1_camel_spear_and_shield	ovn_arb_cha_sultan_jaffar_0	wh_main_infantry_standard_wizard_rider_blood_dismembers		true	true	false
wh_main_arb_elephant_rider_mahout	arb_hu1_elephant_mahout_rider	ovn_arb_elephant_mahout	wh_main_infantry_rider		false	true	false
wh_main_arb_elephant_rider_sheikh	hu1e_arb_sheikh_sword	ovn_arb_cha_sheikh_01	wh_main_infantry_rider_character_blood		true	true	false
wh_main_arb_elephant_rider0	hu1_arabyan_sword_and_longbow	ovn_arabyan_bowmen	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh_main_arb_elephant_rider1	hu1_arabyan_sword_and_longbow	ovn_arabyan_bowmen	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh_main_arb_elephant_rider2	hu1_arabyan_sword_and_longbow	ovn_arabyan_bowmen	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh_main_arb_elephant_rider3	hu1_arabyan_sword_and_longbow	ovn_arabyan_bowmen	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh_main_arb_elephant_rider4	hu1_arabyan_sword_and_longbow	ovn_arabyan_bowmen	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh_main_arb_elephant_rider5	hu1_arabyan_sword_and_longbow	ovn_arabyan_bowmen	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
ovn_arb_cha_fatandira_2	hu1b_fatandira_bi1_eagle_wb_sword_and_bow	ovn_arb_cha_fatandira_0	wh2_main_hef_rider_360_hero_blood	arb_fatandira_stats	true	true	false
arb_fatandira_horse	hu1b_hef_hr1_warhorse_sword_bow	ovn_arb_cha_fatandira_0	wh2_main_hef_rider_360_hero_blood	arb_fatandira_stats	true	true	false
ovn_arb_flying_carpet_rider_0	hu1_araby_fc2_carpet_halberd_and_bow	ovn_arb_flying_carpet_rider	wh_main_war_beast_rider_standard_blood	ovn_arb_flying_carpet_rider	false	false	false
ovn_arb_flying_carpet_rider_ror	hu1_fc7_arb_sword_naffatun_ror	ovn_arb_flying_carpet_rider_ror	wh_main_war_beast_rider_standard_blood	ovn_arb_flying_carpet_ror_rider	false	false	false
ovn_vizier_life_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_cha_vizier_life_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_vizier_desert_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_cha_vizier_desert_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_vizier_fire_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_cha_vizier_fire_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_vizier_heavens_rider	hu1_araby_fc2_carpet_staff_and_sword	ovn_arb_cha_vizier_heavens_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_rider	true	true	false
ovn_arb_cha_vizier_life_djinncarriage	hu1_arb_sorcerer_staff_and_sword	ovn_arb_cha_vizier_life_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_life	true	true	false
ovn_arb_cha_vizier_desert_djinncarriage	hu1_arb_sorcerer_staff_and_sword	ovn_arb_cha_vizier_desert_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_desert	true	true	false
ovn_arb_cha_vizier_fire_djinncarriage	hu1_arb_sorcerer_staff_and_sword	ovn_arb_cha_vizier_fire_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_fire	true	true	false
ovn_arb_cha_vizier_heavens_djinncarriage	hu1_arb_sorcerer_staff_and_sword	ovn_arb_cha_vizier_heavens_01	wh_main_infantry_standard_wizard_rider_blood_dismembers	ovn_arb_cha_magician_heavens	true	true	false
ovn_arb_djinn_carriage_rider_0	arb_djinn_carriage_djinn_cultist	ovn_arb_djinn_carriage_djinn_cultist	wh2_main_infantry_standard_wizard_blood_dismembers_fire	ovn_arb_cha_magician_fire	true	false	false
ovn_arb_djinn_carriage_rider_1	hu1_empire_dual_hammer	ovn_arb_dervishers	wh2_dlc09_tmb_chariot_rider_bow_360		false	true	false
ovn_arb_djinn_carriage_rider_2	hu1_empire_dual_hammer	ovn_arb_dervishers	wh2_dlc09_tmb_chariot_rider_bow_360		false	true	false
ovn_arb_djinn_carriage_rider_3	hu1_empire_dual_hammer	ovn_arb_dervishers	wh2_dlc09_tmb_chariot_rider_bow_360		false	true	false
