model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount	prebattle_separation_offset
#campaign_mounts_tables;9;db/campaign_mounts_tables/ovn_grudgebringers_only								
gru_warhorse	cam_hr1_warhorse	wh_emp_warhorse_campaign	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
morgan_bernhardt_mount	cam_hr1_warhorse	morgan_bernhardt_horse	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
gaston_mount	cam_hr1_warhorse_grail	gaston_horse	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
cam_ludwig_uberdorf_gyrobomber	cam_ludwig_gyrobomber	ludwig_uberdorf_gyrobomber_variant_name	0.4500	wh_main_vo_culture_Empire	false	0	false	0.0000
cam_ludwig_uberdorf_steam_tank	cam_wm_steam_tank01	cam_ludwig_uberdorf_steam_tank	0.7000	wh_main_vo_culture_Empire	false	0	false	0.0000
luther_flamenstrike_mount	cam_hr1_warhorse	luther_flamenstrike_horse	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
vladimir_stormbringer_mount	cam_hr1_warhorse	vladimir_stormbringer_mount	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
ludwig_uberdorf_mechanical_steed	cam_hr1_warhorse	ludwig_uberdorf_mechanical_steed_horse	1.0000	wh_main_vo_culture_Horse	true	0	false	0.0000
dwarf_envoy_oath_stone	cam_th1_throne_of_power	oath_stone_bearers_dwarf_envoy	1.0000	wh_main_vo_culture_Dwarf	false	0	true	0.0000
