event	group	target	flavour_text	image	secondary_detail	layout	layout_data	sound_event	context_located	override_icon	instant_open	ignore_instant_open_filters
#event_feed_message_events_tables;1;db/event_feed_message_events_tables/rhox_araby												
scripted_persistent_event	event_feed_scripted_intro_ovn_araby	event_feed_target_faction	wh_event_feed_string_all_null	arb/messenger	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_commander_activity_positive.png	false	false
conquest_battle	event_feed_cult_ovn_araby_battle_attack_outcome_defeat	event_feed_target_conquest_battle_attacker	wh_event_feed_string_conquest_battle_secondary_detail_attacker_loser	arb/land_defeat	wh_event_feed_string_conquest_battle_description_loser	battle_result	event_feed_layout_data_conquest_battle	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
conquest_battle	event_feed_cult_ovn_araby_battle_attack_outcome_draw	event_feed_target_conquest_battle_attacker	wh_event_feed_string_conquest_battle_secondary_detail_attacker_winner	arb/army_morale_down	wh_event_feed_string_conquest_battle_description_draw	battle_result	event_feed_layout_data_conquest_battle	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false	false
conquest_battle	event_feed_cult_ovn_araby_battle_attack_outcome_victory	event_feed_target_conquest_battle_attacker	wh_event_feed_string_conquest_battle_secondary_detail_attacker_winner	arb/land_victory	wh_event_feed_string_conquest_battle_description_winner	battle_result	event_feed_layout_data_conquest_battle	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false	false
allied_foreign_slot_added	event_feed_cult_ovn_araby	event_feed_target_allied_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_added_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
allied_foreign_slot_added	event_feed_cult_ovn_araby	event_feed_target_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_added_yours_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false	false
allied_foreign_slot_invalidated_diplomacy_changed	event_feed_cult_ovn_araby	event_feed_target_allied_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_diplomacy_changed_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
allied_foreign_slot_invalidated_diplomacy_changed	event_feed_cult_ovn_araby	event_feed_target_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_diplomacy_changed_yours_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
allied_foreign_slot_invalidated_region_owner_changed	event_feed_cult_ovn_araby	event_feed_target_allied_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_region_owner_changed_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
allied_foreign_slot_invalidated_region_owner_changed	event_feed_cult_ovn_araby	event_feed_target_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_region_owner_changed_yours_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
allied_foreign_slot_invalidated_region_owner_died	event_feed_cult_ovn_araby	event_feed_target_allied_faction	wh_event_feed_string_all_null	arb/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_region_owner_died_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false	false
