unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/rhox_araby					
rhox_fatandira_meter_building	buildings	rhox_fatandira_meter	-2147483647	2147483647	
rhox_fatandira_meter_diplomacy	diplomacy	rhox_fatandira_meter	-2147483647	2147483647	
rhox_fatandira_meter_battles	battles	rhox_fatandira_meter	-2147483647	2147483647	
rhox_fatandira_meter_events	events	rhox_fatandira_meter	-2147483647	2147483647	
rhox_fatandira_meter_technology	technology	rhox_fatandira_meter	-2147483647	2147483647	
rhox_fatandira_meter_characters	characters	rhox_fatandira_meter	-2147483647	2147483647	
rhox_fatandira_meter_assassinated	characters_assassinated	rhox_fatandira_meter	-2147483647	2147483647	
ovn_araby_urban_meter_building	buildings	ovn_araby_urban_meter	-2147483647	2147483647	
wh3_dlc25_dwf_grudge_points_enemy_armies_araby_actions	araby_actions	wh3_dlc25_dwf_grudge_points_enemy_armies	0	2147483647	
wh3_dlc25_dwf_grudge_points_enemy_settlements_araby_actions	araby_actions	wh3_dlc25_dwf_grudge_points_enemy_settlements	-2147483647	2147483647	
