chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/zzz_ovn_araby_tow				
	ovn_primary_core_special_major_al_haikk	cr_major_primary_al_haikk		false
ovn_arb_settlement_major		cr_major_primary_al_haikk		true
	ovn_secondary_addon_res_coffee	cr_minor_secondary_asad_oasis		false
	ovn_secondary_addon_res_coffee	cr_minor_secondary_djambiya		false
	ovn_secondary_addon_res_coffee	cr_major_secondary_teshert		false
	ovn_secondary_addon_nehekharan_excavation	cr_major_secondary_zandri		false
	ovn_secondary_addon_nehekharan_excavation	cr_major_secondary_temple_of_ualatep		false
	ovn_secondary_addon_landmark_tomb_of_the_death_scarab	cr_major_secondary_karitamens_tomb		false
	ovn_secondary_addon_landmark_palace_of_the_great_sultan	cr_major_secondary_al_haikk		false
	ovn_secondary_addon_landmark_tomb_of_mullah_akland	cr_minor_secondary_fyrus		false
	ovn_secondary_addon_landmark_fortress_of_nafel_muq	cr_major_secondary_sartosa		false
	ovn_secondary_addon_landmark_the_black-gold_tower	cr_major_secondary_magritta		false
	ovn_secondary_addon_landmark_crypt_of_abdul_ben_rachid	cr_major_secondary_karag_orrud		false
	ovn_secondary_addon_landmark_portal_of_twilight	cr_minor_secondary_bakr_oasis		false
	ovn_secondary_addon_landmark_galleons_graveyard_wreck	cr_major_secondary_sea_maw		false
	ovn_secondary_addon_landmark_galleons_graveyard_magus	cr_major_secondary_sea_maw		false
