chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/ovn_araby_special				
	ovn_secondary_addon_landmark_tomb_of_the_death_scarab	mixer_ime_major_secondary_pastures_akendorf		false
	ovn_secondary_addon_landmark_palace_of_the_great_sultan	mixer_ime_major_secondary_salt_al_haikk		false
	ovn_secondary_addon_landmark_gardens_of_bel-aliad	mixer_ime_minor_secondary_pools_of_despair		false
	ovn_secondary_addon_landmark_tomb_of_mullah_akland	wh2_dlc14_special_fyrus_secondary		false
	ovn_secondary_addon_landmark_ivory_palace_of_ka-sabar	wh2_dlc09_special_ka_sabar_secondary		false
	ovn_secondary_addon_landmark_madrasat_el-sehr	mixer_ime_major_secondary_wizard_caliphs_palace		false
	ovn_secondary_addon_landmark_fortress_of_nafel_muq	wh2_main_special_sartosa_secondary		false
	ovn_secondary_addon_landmark_the_black-gold_tower	wh_main_special_magritta_secondary		false
	ovn_secondary_addon_landmark_crypt_of_abdul_ben_rachid	wh2_main_special_karag_orrud_secondary		false
	ovn_secondary_addon_landmark_portal_of_twilight	mixer_ime_minor_secondary_pools_of_despair		false
	ovn_secondary_addon_landmark_golden_magus_paradise	wh2_main_special_galleons_graveyard_primary		false
	ovn_secondary_addon_landmark_galleons_graveyard_wreck	wh2_main_special_galleons_graveyard_secondary		false
	ovn_secondary_addon_landmark_galleons_graveyard_magus	wh2_main_special_galleons_graveyard_secondary		false
	ovn_secondary_addon_landmark_copher_port_araby	wh2_dlc14_special_copher_port		false
	ovn_secondary_addon_landmark_college_of_sorcerers	mixer_ime_minor_secondary_sorcerers_islands		false
	ovn_secondary_addon_landmark_great_slave_market	mixer_ime_minor_secondary_pottery_lashiek		false
	ovn_secondary_addon_landmark_atalan_mountain_peaks	wh3_dlc27_special_secondary_vulture_mountain		false
