chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/ovn_araby_resources				
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_sorcerers_islands		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_pools_of_despair		false
	ovn_secondary_addon_res_coffee	wh2_dlc09_special_quatar_secondary		false
	ovn_secondary_addon_res_coffee	wh2_main_oreons_camp_secondary		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_deaths_head_monoliths		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_primary_sun_tree_glades		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_soteks_trail		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_serpent_coast		false
	ovn_secondary_addon_res_coffee	wh3_dlc27_special_tower_of_the_stars_secondary		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_shattered_stone_isle		false
	ovn_secondary_addon_res_coffee	mixer_ime_major_secondary_tower_of_ashung		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_marks_of_the_old_ones		false
	ovn_secondary_addon_res_coffee	wh2_main_special_quetza_secondary		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_sentinels_of_xeti		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_tlax		false
	ovn_secondary_addon_res_coffee	wh2_main_special_tlaxtlan_secondary		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_monument_of_izzatal		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_primary_floating_pyramid		false
	ovn_secondary_addon_res_coffee	mixer_ime_minor_secondary_monument_of_the_moon		false
