ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_araby_only	
ovn_hero_abilities_summon_genie	ovn_all_summon_genie
ovn_hero_abilities_summon_genie	wh_main_all_direct_damage_unbinding
ovn_hero_abilities_summon_sea_nymph	ovn_all_summon_sea_nymph
ovn_hero_abilities_summon_sea_nymph	wh_main_all_direct_damage_unbinding
ovn_hero_abilities_summon_desert_spirit	ovn_all_summon_desert_spirit
ovn_hero_abilities_summon_desert_spirit	wh_main_all_direct_damage_unbinding
ovn_hero_abilities_summon_fire_efreet	ovn_all_summon_fire_efreet
ovn_hero_abilities_summon_fire_efreet	wh_main_all_direct_damage_unbinding
ovn_hero_abilities_summon_tempest_djinn	ovn_all_summon_tempest_djinn
ovn_hero_abilities_summon_tempest_djinn	wh_main_all_direct_damage_unbinding
ovn_spell_desert_mirage	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage	wh_main_all_direct_damage_unbinding
ovn_spell_desert_mirage	wh_main_all_defend_vs_charge
ovn_spell_desert_mirage_upgraded	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage_upgraded	wh_main_all_direct_damage_unbinding
ovn_spell_desert_mirage_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_mirage_upgraded	wh_main_all_defend_vs_charge
ovn_spell_desert_sunstrike_upgraded	wh2_main_all_good_against_armour
ovn_spell_desert_sunstrike_upgraded	wh2_main_all_magical_and_flaming_medium
ovn_spell_desert_sunstrike_upgraded	wh3_main_projectile_requires_line_of_sight
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_effective_all_ranges
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_friendly_fire
ovn_spell_desert_sunstrike_upgraded	wh_main_spell_upgraded_ap_damage
ovn_spell_desert_sunstrike_upgraded	wh_main_spell_upgraded_ap_damage_explosion_ranged
ovn_spell_desert_sunstrike	wh2_main_all_good_against_armour
ovn_spell_desert_sunstrike	wh2_main_all_magical_and_flaming_medium
ovn_spell_desert_sunstrike	wh3_main_projectile_requires_line_of_sight
ovn_spell_desert_sunstrike	wh_main_projectile_effective_all_ranges
ovn_spell_desert_sunstrike	wh_main_projectile_high_penetration
ovn_spell_bound_desert_sunstrike	wh2_main_all_good_against_armour
ovn_spell_bound_desert_sunstrike	wh2_main_all_magical_and_flaming_medium
ovn_spell_bound_desert_sunstrike	wh3_main_projectile_requires_line_of_sight
ovn_spell_bound_desert_sunstrike	wh_main_projectile_effective_all_ranges
ovn_spell_bound_desert_sunstrike	wh_main_projectile_high_penetration
ovn_spell_desert_sandstorm	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm_upgraded	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh_main_spell_upgraded_duration
ovn_spell_bound_desert_sandstorm	wh2_main_all_good_against_armour
ovn_spell_bound_desert_sandstorm	wh2_main_spell_huge_vortex
ovn_spell_desert_quicksand_upgraded	wh_main_spell_upgraded_area
ovn_spell_desert_burning_hands	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands_upgraded	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_burning_hands_upgraded	wh_main_vortex_large_breath
ovn_spell_desert_curse_of_the_djinn_upgraded	ovn_spell_upgraded_added_resistance_magic
ovn_spell_desert_curse_of_the_djinn_upgraded	wh_main_spell_upgraded_armour
ovn_spell_desert_curse_of_the_djinn_upgraded	wh_main_spell_upgraded_area
ovn_lore_passive_blessing_of_the_elements	wh_dlc05_spell_trigger_when_casting
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_flanking
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_hiding
roy_unit_active_arb_doppelgang	wh2_dlc10_all_summon_no_damage
roy_unit_active_arb_doppelgang	ovn_all_summon_arb_nomad_assassin_mirror
roy_unit_active_arb_doppelgang	ovn_all_summon_arb_nomad_assassin_unspottable
arb_jaffar_serpent_djinn	wh2_dlc12_spell_friendly_fire_aoe
arb_jaffar_serpent_djinn	wh_dlc08_direct_damage_medium_unit
arb_jaffar_serpent_djinn	wh_main_all_large_aoe
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_dlc01_all_summon_spawn
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_main_all_direct_damage_unbinding
ovn_arb_baz_wep_10_vengeful_sword_heal	wh_main_all_replenish
ovn_arb_baz_wep_10_vengeful_sword_damage_self	wh2_dlc14_direct_damage_self_low
arb_fatandira_aimed_shot	wh2_dlc13_scaling_damage
arb_fatandira_aimed_shot	wh2_main_all_good_against_armour
arb_fatandira_aimed_shot	wh2_main_all_magical_damage_moderate
arb_fatandira_aimed_shot	wh3_main_projectile_requires_line_of_sight
arb_fatandira_aimed_shot	wh_main_all_good_vs_large
arb_golden_magus_master_djinn	ovn_all_summon_genie
arb_golden_magus_master_djinn	wh_main_all_direct_damage_unbinding
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_all_good_against_armour
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_all_magical_and_flaming_major
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_bombardment_medium_strike_aoe
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh_main_all_strong_against_unit
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_spell_large_vortex
arb_golden_magus_flaming_scimitar_hurricane_blades	wh_main_all_strong_against_units
arb_golden_magus_flaming_scimitar_royal_djinn	ovn_all_summon_book_djinn
arb_golden_magus_flaming_scimitar_royal_djinn	wh_main_all_direct_damage_unbinding
ovn_djinn_carriage_summon_sea_nymph	ovn_all_summon_sea_nymph
ovn_djinn_carriage_summon_desert_spirit	ovn_all_summon_desert_spirit
ovn_djinn_carriage_summon_fire_efreet	ovn_all_summon_fire_efreet
ovn_djinn_carriage_summon_tempest_djinn	ovn_all_summon_tempest_djinn
ovn_arb_dervish_dance	wh3_dlc20_ability_intensity_time_in_melee
ovn_unit_passive_carrion_hunger	wh_main_all_replenish
ovn_spell_bound_hashut_flames_of_azgorh	wh2_main_all_good_against_armour
ovn_spell_bound_hashut_flames_of_azgorh	wh2_main_all_magical_damage_major
ovn_spell_bound_hashut_flames_of_azgorh	wh2_main_bombardment_medium_strike_aoe
ovn_spell_bound_hashut_flames_of_azgorh	wh_main_all_strong_against_unit
ovn_spell_bound_tempest_blizzard	wh_main_vortex_large_static_aoe
ovn_unit_passive_incarnate_regrowth	wh_main_all_replenish
ovn_unit_passive_incarnate_curse_of_hashut	wh_dlc08_direct_damage_elite_unit
ovn_unit_passive_incarnate_curse_of_hashut	wh_main_all_direct_damage
ovn_unit_passive_incarnate_death_frost	wh_dlc08_direct_damage_elite_unit
ovn_unit_passive_incarnate_death_frost	wh_main_all_direct_damage
ovn_arb_efreet_asscannon	wh2_main_all_magical_and_flaming_medium
ovn_arb_efreet_asscannon	wh3_main_projectile_requires_line_of_sight
ovn_arb_efreet_asscannon	wh_main_all_strong_against_multiple
ovn_arb_efreet_asscannon	wh_main_projectile_effective_long_range
ovn_arb_efreet_asscannon	wh_main_projectile_powerful_explosion
ovn_arb_grand_bombard_ror_sphere	wh3_dlc23_spawn_vortex_1
ovn_arb_grand_bombard_ror_sphere	wh2_main_all_magical_and_flaming_medium
ovn_arb_grand_bombard_ror_sphere	wh3_main_projectile_requires_line_of_sight
ovn_arb_grand_bombard_ror_sphere	wh_main_all_strong_against_multiple
ovn_arb_grand_bombard_ror_sphere	wh_main_projectile_effective_long_range
ovn_arb_grand_bombard_ror_sphere	wh_main_projectile_powerful_explosion
ovn_unit_abilities_air_skiff_broadside_right	wh3_main_projectile_requires_line_of_sight
ovn_unit_abilities_air_skiff_broadside_left	wh3_main_projectile_requires_line_of_sight
