campaign	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
#campaign_cultural_relations_tables;0;db/campaign_cultural_relations_tables/ovn_araby_only					
	ovn_sc_arb_araby	ovn_sc_arb_araby	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_dlc11_sc_cst_vampire_coast	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_main_sc_def_dark_elves	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_main_sc_hef_high_elves	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_main_sc_lzd_lizardmen	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_main_sc_skv_skaven	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_cth_cathay	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_dae_daemons	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh3_main_sc_kho_khorne	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh3_main_sc_ksl_kislev	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_nur_nurgle	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh3_main_sc_ogr_ogre_kingdoms	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_sla_slaanesh	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh3_main_sc_tze_tzeentch	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh_dlc03_sc_bst_beastmen	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh_dlc05_sc_wef_wood_elves	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh_dlc08_sc_nor_norsca	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh_main_sc_brt_bretonnia	-100.0000	1.5000	0.5000
	ovn_sc_arb_araby	wh_main_sc_chs_chaos	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh3_dlc23_sc_chd_chaos_dwarfs	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh_main_sc_dwf_dwarfs	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh_main_sc_emp_empire	-100.0000	1.5000	0.5000
	ovn_sc_arb_araby	wh_main_sc_grn_greenskins	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh_main_sc_grn_savage_orcs	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	wh_main_sc_teb_teb	-100.0000	1.5000	0.5000
	ovn_sc_arb_araby	wh_main_sc_vmp_vampire_counts	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_dlc09_sc_tmb_tomb_kings	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	ovn_sc_ama_amazon	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_fim_fimir	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_halflings	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_troll_troll	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	ovn_sc_alb_albion	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_mar_marienburg	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	mixer_gnob_gnoblar_horde	-40.0000	1.2500	0.7500
	ovn_sc_arb_araby	mixer_teb_southern_realms	-100.0000	1.5000	0.5000
	ovn_sc_arb_araby	mixer_nip_nippon	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	mixer_vmp_jade_vampires	-10.0000	1.0000	1.0000
	wh_main_sc_vmp_vampire_counts	ovn_sc_arb_araby	-10.0000	1.0000	1.0000
