campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/ovn_araby_only						
		1	roy_skill_champion_mount_horse		x	3
		1	roy_anc_mount_arb_champion_pegasus		x	11
		1	roy_skill_champion_mount_elephant		x	17
		1	roy_skill_arb_agent_missile_res		x	7
		1	roy_skill_champion_arb_guard		x	9
		1	roy_skill_champion_arb_warrior		x	9
		1	roy_skill_champion_arb_sergeant		x	9
		1	roy_skill_arb_nomad_strike_from_the_shadows		x	5
		1	roy_skill_arb_nomad_doppelgang		x	5
		1	ovn_skill_arb_all_unique_ward_of_the_one		x	7
		1	ovn_skill_arb_magician_unique_magician_life_magic_carpet		x	15
		1	ovn_skill_arb_magician_unique_magician_life_djinn_vessel		x	6
		1	ovn_skill_arb_magician_unique_magician_desert_magic_carpet		x	15
		1	ovn_skill_arb_magician_unique_magician_desert_djinn_vessel		x	6
		1	ovn_skill_arb_magician_unique_magician_fire_magic_carpet		x	15
		1	ovn_skill_arb_magician_unique_magician_fire_djinn_vessel		x	6
		1	ovn_skill_arb_magician_unique_magician_heavens_magic_carpet		x	15
		1	ovn_skill_arb_magician_unique_magician_heavens_djinn_vessel		x	6
		1	ovn_araby_sword		x	4
		1	ovn_araby_helm		x	4
		1	ovn_araby_talisman		x	4
		1	ovn_araby_Order_Buff		x	9
		1	ovn_araby_Chaos_Buff		x	9
		1	ovn_araby_rattlesnake_staff		x	9
		1	ovn_skill_arb_lord_mount_horse		x	3
		1	roy_anc_mount_arb_lord_pegasus		x	11
		1	ovn_araby_Mount_Elephant		x	15
		1	ovn_araby_Djinn		x	9
		1	roy_anc_mount_arb_champion_horse_wazar		x	3
		1	roy_anc_mount_arb_champion_pegasus_wazar		x	11
		1	roy_anc_mount_arb_champion_elephant_wazar		x	17
		1	arb_champion_wazar_unique_0		x	11
		1	arb_sheikh_mehmed_mount_horse		x	3
		1	arb_sheikh_mehmed_mount_pegasus		x	11
		1	arb_sheikh_mehmed_mount_elephant		x	15
		1	arb_sheikh_mehmed_unique_0		x	11
		1	arb_sheikh_administrator		x	9
		1	arb_sheikh_city		x	9
		1	arb_sheikh_nomad		x	9
		1	ovn_skill_arb_caravan_master_mount_horse		x	3
