campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/ovn_arb_viziers						
		1	arb_vizier_administrator		x	9
		1	arb_vizier_scholar		x	9
		1	arb_vizier_schemer		x	9
		1	arb_vizier_life_djinn_carriage		x	21
		1	arb_vizier_life_magic_carpet		x	15
		1	arb_vizier_life_camel		x	6
		1	arb_vizier_fire_djinn_carriage		x	21
		1	arb_vizier_fire_magic_carpet		x	15
		1	arb_vizier_fire_camel		x	6
		1	arb_vizier_heavens_djinn_carriage		x	21
		1	arb_vizier_heavens_magic_carpet		x	15
		1	arb_vizier_heavens_camel		x	6
		1	arb_vizier_desert_djinn_carriage		x	21
		1	arb_vizier_desert_magic_carpet		x	15
		1	arb_vizier_desert_camel		x	6
