override_faction	override_subculture	source_resource	target_resource
#resource_ui_overrides_tables;0;db/resource_ui_overrides_tables/ovn_araby			
	wh2_dlc09_sc_tmb_tomb_kings	ovn_coffee	ovn_coffee_invisible
	wh2_dlc11_sc_cst_vampire_coast	ovn_coffee	ovn_coffee_invisible
	wh2_main_rogue	ovn_coffee	ovn_coffee_invisible
	wh2_main_rogue_chaos	ovn_coffee	ovn_coffee_invisible
	wh2_main_sc_def_dark_elves	ovn_coffee	ovn_coffee_invisible
	wh2_main_sc_hef_high_elves	ovn_coffee	ovn_coffee_invisible
	wh2_main_sc_lzd_lizardmen	ovn_coffee	ovn_coffee_invisible
	wh2_main_sc_skv_skaven	ovn_coffee	ovn_coffee_invisible
	wh3_dlc23_sc_chd_chaos_dwarfs	ovn_coffee	ovn_coffee_invisible
	wh3_main_pro_sc_kho_khorne	ovn_coffee	ovn_coffee_invisible
	wh3_main_pro_sc_ksl_kislev	ovn_coffee	ovn_coffee_invisible
	wh3_main_pro_sc_tze_tzeentch	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_cth_cathay	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_dae_daemons	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_kho_khorne	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_ksl_kislev	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_nur_nurgle	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_ogr_ogre_kingdoms	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_sla_slaanesh	ovn_coffee	ovn_coffee_invisible
	wh3_main_sc_tze_tzeentch	ovn_coffee	ovn_coffee_invisible
	wh_dlc03_sc_bst_beastmen	ovn_coffee	ovn_coffee_invisible
	wh_dlc05_sc_wef_wood_elves	ovn_coffee	ovn_coffee_invisible
	wh_dlc08_sc_nor_norsca	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_brt_bretonnia	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_chs_chaos	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_dwf_dwarfs	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_emp_empire	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_grn_greenskins	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_grn_savage_orcs	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_teb_teb	ovn_coffee	ovn_coffee_invisible
	wh_main_sc_vmp_vampire_counts	ovn_coffee	ovn_coffee_invisible
	mixer_gnob_gnoblar_horde	ovn_coffee	ovn_coffee_invisible
	mixer_nag_nagash	ovn_coffee	ovn_coffee_invisible
	ovn_sc_alb_albion	ovn_coffee	ovn_coffee_invisible
	ovn_sc_ama_amazon	ovn_coffee	ovn_coffee_invisible
	ovn_sc_fim_fimir	ovn_coffee	ovn_coffee_invisible
	ovn_sc_mar_marienburg	ovn_coffee	ovn_coffee_invisible
	ovn_sc_troll_troll	ovn_coffee	ovn_coffee_invisible
	ovn_sc_halflings	ovn_coffee	ovn_coffee_invisible
	mixer_nip_nippon	ovn_coffee	ovn_coffee_invisible
	mixer_teb_southern_realms	ovn_coffee	ovn_coffee_invisible
	mixer_vmp_jade_vampires	ovn_coffee	ovn_coffee_invisible
	mixer_sc_hng_hung	ovn_coffee	ovn_coffee_invisible
	ovn_sc_arb_araby	res_bile_trolls	
	ovn_sc_arb_araby	res_chaos_trolls	
	ovn_sc_arb_araby	res_river_trolls	
	ovn_sc_arb_araby	res_savage	
	ovn_sc_arb_araby	res_stone_trolls	
	mixer_cou_vampires	ovn_coffee	ovn_coffee_invisible
	mixer_dom_dominion	ovn_coffee	ovn_coffee_invisible
	mixer_ind_ind	ovn_coffee	ovn_coffee_invisible
	mixer_khu_khuresh	ovn_coffee	ovn_coffee_invisible
	mixer_abys_fishmen	ovn_coffee	ovn_coffee_invisible
	mixer_hbg_hobgoblins	ovn_coffee	ovn_coffee_invisible
	mixer_sam_samhan	ovn_coffee	ovn_coffee_invisible
	mixer_yam_yamato	ovn_coffee	ovn_coffee_invisible
