campaign_group	effect_bundle	effect_type
#campaign_group_pooled_resource_effects_tables;2;db/campaign_group_pooled_resource_effects_tables/rhox_albion		
rhox_albion_wanted_level_1	rhox_albion_wanted_level_1	ABSOLUTE_VALUE
rhox_albion_wanted_level_2	rhox_albion_wanted_level_2	ABSOLUTE_VALUE
rhox_albion_wanted_level_3	rhox_albion_wanted_level_3	ABSOLUTE_VALUE
rhox_albion_wanted_level_4	rhox_albion_wanted_level_4	ABSOLUTE_VALUE
rhox_albion_wanted_level_5	rhox_albion_wanted_level_5	ABSOLUTE_VALUE
rhox_albion_progress_level_0	rhox_albion_progress_level_0	ABSOLUTE_VALUE
rhox_albion_progress_level_1	rhox_albion_progress_level_1	ABSOLUTE_VALUE
rhox_albion_progress_level_2	rhox_albion_progress_level_2	ABSOLUTE_VALUE
rhox_albion_progress_level_3	rhox_albion_progress_level_3	ABSOLUTE_VALUE
rhox_albion_progress_level_4	rhox_albion_progress_level_4	ABSOLUTE_VALUE
rhox_albion_progress_level_5	rhox_albion_progress_level_5	ABSOLUTE_VALUE
