id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ovn_araby_only		
ovn_araby_tow_campaign_jaffar	ovn_araby_tow_campaign	0.0000
ovn_araby_combi_campaign_jaffar	ovn_araby_combi_campaign	0.0000
ovn_araby_iee_campaign_jaffar	ovn_araby_iee_campaign	0.0000
ovn_araby_combi_campaign_minor	ovn_araby_combi_campaign	0.0000
ovn_araby_iee_campaign_minor	ovn_araby_iee_campaign	0.0000
ovn_araby_flaming_scimitar_boat	ovn_araby_flaming_scimitar_boat	0.0000
diplomacy_Faction_Araby_&_Negative	diplomacy_Faction_Araby_&_Negative	25.0000
diplomacy_Faction_Araby_&_Positive	diplomacy_Faction_Araby_&_Positive	25.0000
diplomacy_Faction_Araby	diplomacy_Faction_Araby	25.0000
diplomacy_Faction_Scythan_&_Negative	diplomacy_Faction_Scythan_&_Negative	25.0000
diplomacy_Faction_Scythan_&_Positive	diplomacy_Faction_Scythan_&_Positive	25.0000
diplomacy_Faction_Scythan	diplomacy_Faction_Scythan	25.0000
diplomacy_Faction_Scimitar_&_Negative	diplomacy_Faction_Scimitar_&_Negative	25.0000
diplomacy_Faction_Scimitar_&_Positive	diplomacy_Faction_Scimitar_&_Positive	25.0000
diplomacy_Faction_Scimitar	diplomacy_Faction_Scimitar	25.0000
wh3_main_seductive_influence_seducible_factions_subcult_araby	wh3_main_pooled_resource_seductive_influence_seducible_factions	0.0000
wh3_dlc20_chs_souls_factor_fighting_non_daemon_ovn_araby	wh3_dlc20_chs_souls_factor_fighting_non_daemon	0.0000
wh3_dlc20_chs_captive_option_release_chaos_vs_non_daemon_non_daemon_ovn_araby	wh3_dlc20_captive_option_release_chaos_vs_non_daemon	1.0000
wh3_dlc20_chs_occuption_option_non_daemon_ovn_araby	wh3_dlc20_occupation_decision_chaos_vs_non_daemon	1.0000
grn_faction_waaagh_reward_member_araby	grn_faction_waaagh_reward_group_humans	0.0000
wh2_dlc15_prison_action_interrogate_araby	wh2_dlc15_prison_action_interrogate_araby	0.0000
wh2_dlc15_hef_eltharion_dungeon_reward_araby	wh2_dlc15_hef_eltharion_dungeon_reward_araby	0.0000
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_ovn_araby	wh_main_event_feed_agent_action_all_hinder_character_empire	0.0000
wh3_main_winds_of_magic_ARABY_CARAVAN	wh3_main_winds_of_magic	0.0000
ovn_araby_caravan_group	ovn_araby_caravan_group	0.0000
diplomacy_Faction_minor_Araby_&_Negative	diplomacy_Faction_minor_Araby_&_Negative	23.0000
diplomacy_Faction_minor_Araby_&_Positive	diplomacy_Faction_minor_Araby_&_Positive	23.0000
diplomacy_Faction_minor_Araby	diplomacy_Faction_minor_Araby	23.0000
ovn_araby_how_they_play_event	ovn_araby_how_they_play_event	0.0000
rhox_araby_urban_meter	rhox_araby_urban_meter	0.0000
rhox_araby_estate_bundle_nomad_chief	rhox_araby_estate_bundle_nomad_chief	0.0000
rhox_araby_estate_bundle_urban_elite	rhox_araby_estate_bundle_urban_elite	0.0000
rhox_araby_estate_bundle_evenly_matched	rhox_araby_estate_bundle_evenly_matched	0.0000
rhox_araby_rebel_group	rhox_araby_rebel_group	0.0000
wh3_dlc25_dwf_grudge_points_enemy_settlements_ovn_araby	wh3_dlc25_dwf_grudge_points_enemy_settlements	0.0000
wh_occupation_decision_bretonnia_raze_araby	wh_main_occupation_decision_bretonnia_raze_enemy	0.0000
wh_occupation_decision_bretonnia_sack_araby	wh_main_occupation_decision_bretonnia_sack_enemy	0.0000
wh3_dlc25_captive_option_salvage_guns_araby	wh3_dlc25_captive_option_salvage_guns	2.0000
