key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/ovn_halflings_only				
ovn_com_firework_rocket	false	ovn_com_firework_rocket	rocket_battery	false
ovn_com_firework_rocket_upgraded	false	ovn_com_firework_rocket_upgraded	rocket_battery	false
wh_main_mtl_soup_cannon	false	wh_main_mtl_soup_projectile	flame_cannon	false
ovn_mtl_hotpot	false	ovn_mtl_hotpot_projectile	flame_cannon	false
ovn_mtl_hotpot_ror	false	ovn_mtl_hotpot_ror_projectile	flame_cannon	false
crossbow_light_halfling	false	crossbow_light_halfling	bow	false
grudge_wh_dlc05_wef_waywatchers_bow	false	wh_dlc05_wef_waywatchers_arrow	bow	false
hlf_glibfoot_hyshia_weapon	false	hlf_glibfoot_hyshia_bolt	crossbow_LH	false
hlf_crossbow_fieldwarden	false	hlf_crossbow_fieldwarden_arrow	crossbow	false
hotpot	false	hotpot	cannon	false
ovn_hlf_bee_throwers	false	ovn_hlf_bee_throwers		false
militia_crossbow	false	militia_crossbow	bow	false
