ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_halflings_only			
ovn_anc_weapon_glammyding	wh_main_effect_force_stat_leadership_vs_greenskins	general_to_force_own	3.0
ovn_anc_weapon_glammyding	wh_main_effect_character_stat_weapon_strength_vs_greenskins	character_to_character_own	12.0
ovn_anc_weapon_glammyding	wh_main_effect_force_stat_melee_attack_vs_greenskins	character_to_character_own	10.0
ovn_anc_talisman_bottomless_hat_of_rabbit	wh_main_effect_character_stat_speed	character_to_character_own	10.0
ovn_anc_talisman_bottomless_hat_of_rabbit	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	25.0
ovn_anc_talisman_bottomless_hat_of_rabbit	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	10.0
ovn_anc_arcane_item_cathay_fireworks	wh_main_effect_character_stat_miscast	character_to_character_own	5.0
ovn_anc_arcane_item_cathay_fireworks	wh_main_effect_character_stat_missile_damage	character_to_character_own	10.0
ovn_anc_arcane_item_cathay_fireworks	wh_main_effect_character_stat_melee_defence	character_to_character_own	5.0
ovn_anc_weapon_aragands_sword	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0
ovn_anc_weapon_aragands_sword	wh_main_effect_character_stat_ap_damage	character_to_character_own	10.0
ovn_anc_enchanted_item_pig_swill	wh_main_effect_character_stat_leadership	character_to_character_own	5.0
ovn_anc_enchanted_item_pig_swill	wh_main_effect_character_stat_unit_health	character_to_character_own	-10.0
ovn_anc_enchanted_item_pig_swill	wh_main_effect_character_stat_weapon_strength	character_to_character_own	25.0
ovn_anc_talisman_friendship_bracelet_legles	wh_main_faction_political_diplomacy_mod_dwarfs	character_to_faction_unseen	15.0
ovn_anc_talisman_friendship_bracelet_legles	wh_main_effect_attribute_enable_expert_charge_defence	character_to_character_own	1.0
ovn_anc_enchanted_item_ring_of_concealment	wh_dlc14_effect_unit_enable_attribute_unspottable	character_to_character_own	1.0
ovn_anc_enchanted_item_ring_of_concealment	wh_main_effect_character_stat_missile_resistance	character_to_character_own	10.0
ovn_anc_enchanted_item_ring_of_concealment	wh_main_effect_character_stat_magic_resistance	character_to_character_own	-20.0
ovn_anc_talisman_friendship_bracelet_giblit	wh2_dlc16_diplomacy_bonus_all_elves	character_to_faction_unseen	15.0
ovn_anc_talisman_friendship_bracelet_giblit	wh_main_effect_attribute_enable_strider	character_to_character_own	1.0
ovn_anc_talisman_friendship_bracelet_giblit	wh_main_effect_attribute_enable_vanguard_deployment	character_to_character_own	1.0
ovn_anc_enchanted_item_bimbos_book	wh_main_effect_force_stat_leadership	general_to_force_own	5.0
hlf_staff	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
hlf_robe	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0
hlf_staff	wh_main_effect_character_stat_magic_resistance	character_to_character_own	20.0
hlf_staff	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0
hlf_robe	wh_main_effect_character_stat_speed	character_to_character_own	10.0
hlf_robe	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0
ovn_anc_follower_halfling_housewife	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	5.0
ovn_anc_follower_halfling_housewife	wh_main_effect_force_stat_leadership	general_to_force_own	3.0
hlf_glibfoot_hyshia	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
hlf_glibfoot_hyshia	wh_main_effect_character_stat_ammunition	character_to_character_own	10.0
hlf_glibfoot_hyshia	wh_main_effect_character_stat_missile_damage	character_to_character_own	13.0
hlf_glibfoot_hyshia	wh_main_effect_character_stat_range	character_to_character_own	15.0
hlf_glibfoot_hyshia	ovn_glibfoot_enable_hyshia_charged_shot	character_to_character_own	1.0
hlf_glibfoot_willowblade	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0
hlf_glibfoot_willowblade	wh_main_effect_character_stat_ap_damage	character_to_character_own	20.0
hlf_glibfoot_willowblade	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0
hlf_glibfoot_willowblade	ovn_glibfoot_enable_willowblade_ability	character_to_character_own	1.0
