battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/ovn_halflings_only	
hu3_dwarf_2handed_axe_ungrim	wh_main_emp_empire
hu3_runelord_hammer	wh_main_emp_empire
dr1_dragon	wh_main_emp_empire
wm_carriage01	wh_main_emp_empire
bi1_hawk	wh_main_emp_empire
bi1_eagle	wh_main_emp_empire
hr1_warhorse	wh_main_emp_empire
hu3_dwarf_axe_shield_and_crossbow	wh_main_emp_empire
hc2_treekin	wh_main_emp_empire
hu21_treeman	wh_main_emp_empire
hu20_dryads	wh_main_emp_empire
hu3_dwarf_2handed_axe	wh_main_emp_empire
hu3_dwarf_axe_and_shield	wh_main_emp_empire
hu3_dwarf_axe_and_shield_thane	wh_main_emp_empire
hu3_dwarf_dual_axe_slayer	wh_main_emp_empire
rp3_cold_one	wh_main_emp_empire
hu3_dwarf_hammer	wh_main_emp_empire
bo1_warboar	wh_main_emp_empire
wf1_giant_wolf	wh_main_emp_empire
wm_bolt_thrower02	wh_main_emp_empire
hu3_dwarf_axe_shield_rifle	wh_main_emp_empire
hu3_glibfoot_sword_and_crossbow	wh_main_emp_empire
hu3_halfling_2handed_weapon	wh_main_emp_empire
hu3_halfling_weapon_and_shield	wh_main_emp_empire
hu3_halfling_weapon_and_shield_lord	wh_main_emp_empire
hu3_dwarf_axe_shield_and_bow	wh_main_emp_empire
hu3_halfling_bo1_axe_and_shield	wh_main_emp_empire
hu3_halfling_bo1_twohand	wh_main_emp_empire
hu3_dwarf_2handed_axe_blasting_charges	wh_main_emp_empire
bo1_bel_warboar	wh_main_emp_empire
hu3_bo1_twohand	wh_main_emp_empire
wm_reaper01	wh_main_emp_empire
hu3_halfling_hu3_piggyback_2handed_axe	wh_main_emp_empire
hu3_halfling_piggyback	wh_main_emp_empire
hu3_halfling_caster	wh_main_emp_empire
hu3_halfling_rp3_axe_and_shield	wh_main_emp_empire
bi1_swan	wh_main_emp_empire
hu3_halfling_bi1_swan_sword_bow	wh_main_emp_empire
hu3_dwarf_2handed_axe_ungrim	ovn_halflings
hu3_runelord_hammer	ovn_halflings
dr1_dragon	ovn_halflings
wm_carriage01	ovn_halflings
bi1_hawk	ovn_halflings
bi1_eagle	ovn_halflings
hr1_warhorse	ovn_halflings
hu3_dwarf_axe_shield_and_crossbow	ovn_halflings
hc2_treekin	ovn_halflings
hu21_treeman	ovn_halflings
hu20_dryads	ovn_halflings
hu3_dwarf_2handed_axe	ovn_halflings
hu3_dwarf_axe_and_shield	ovn_halflings
hu3_dwarf_axe_and_shield_thane	ovn_halflings
hu3_dwarf_dual_axe_slayer	ovn_halflings
rp3_cold_one	ovn_halflings
hu3_dwarf_hammer	ovn_halflings
bo1_warboar	ovn_halflings
wf1_giant_wolf	ovn_halflings
wm_bolt_thrower02	ovn_halflings
hu3_dwarf_axe_shield_rifle	ovn_halflings
hu3_glibfoot_sword_and_crossbow	ovn_halflings
hu3_halfling_2handed_weapon	ovn_halflings
hu3_halfling_weapon_and_shield	ovn_halflings
hu3_halfling_weapon_and_shield_lord	ovn_halflings
hu3_dwarf_axe_shield_and_bow	ovn_halflings
hu3_halfling_bo1_axe_and_shield	ovn_halflings
hu3_halfling_bo1_twohand	ovn_halflings
hu3_dwarf_2handed_axe_blasting_charges	ovn_halflings
bo1_bel_warboar	ovn_halflings
hu3_bo1_twohand	ovn_halflings
wm_reaper01	ovn_halflings
hu3_halfling_hu3_piggyback_2handed_axe	ovn_halflings
hu3_halfling_piggyback	ovn_halflings
hu3_halfling_caster	ovn_halflings
hu3_halfling_rp3_axe_and_shield	ovn_halflings
bi1_swan	ovn_halflings
hu3_halfling_bi1_swan_sword_bow	ovn_halflings
hu3_halfling_bi1_swan_sword_shield	ovn_halflings
