agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_hlf_buildings		
general	wh3_main_ogr_goldtooth	ovn_hlf_glibfoot
general	wh3_main_ogr_goldtooth	ovn_hlf_moot_general
spy	wh3_main_ogr_goldtooth	ovn_hlf_fieldwarden
dignitary	wh3_main_ogr_goldtooth	ovn_hlf_master_chef
champion	wh3_main_ogr_goldtooth	ovn_hlf_sheriff
general	wh3_main_ogr_goldtooth	ovn_com_olorin_the_grey_wizard
champion	wh3_main_ogr_goldtooth	ovn_com_aragand_the_layabout
spy	wh3_main_ogr_goldtooth	ovn_com_legles_the_elf
champion	wh3_main_ogr_goldtooth	ovn_com_giblit_the_dwarf
general	wh3_main_ogr_goldtooth	ovn_hlf_ll
general	wh3_main_ogr_goldtooth	cr_mtl_matron
general	wh3_main_ogr_disciples_of_the_maw	ovn_hlf_glibfoot
general	wh3_main_ogr_disciples_of_the_maw	ovn_hlf_moot_general
spy	wh3_main_ogr_disciples_of_the_maw	ovn_hlf_fieldwarden
dignitary	wh3_main_ogr_disciples_of_the_maw	ovn_hlf_master_chef
champion	wh3_main_ogr_disciples_of_the_maw	ovn_hlf_sheriff
general	wh3_main_ogr_disciples_of_the_maw	ovn_com_olorin_the_grey_wizard
champion	wh3_main_ogr_disciples_of_the_maw	ovn_com_aragand_the_layabout
spy	wh3_main_ogr_disciples_of_the_maw	ovn_com_legles_the_elf
champion	wh3_main_ogr_disciples_of_the_maw	ovn_com_giblit_the_dwarf
general	wh3_main_ogr_disciples_of_the_maw	ovn_hlf_ll
general	wh3_main_ogr_disciples_of_the_maw	cr_mtl_matron
