uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/ovn_halflings_only					
ovn_hlf_ll	ovn_hlf_ll	ovn_hlf_ll	ovn_hlf_ll		
ovn_hlf_glibfoot	ovn_hlf_glibfoot	ovn_hlf_glibfoot	ovn_hlf_glibfoot		
ovn_hlf_moot_general	ovn_hlf_moot_general_0	ovn_hlf_moot_general_0	ovn_hlf_moot_general_0		
ovn_hlf_moot_general_1	ovn_hlf_moot_general_01	ovn_hlf_moot_general_01	ovn_hlf_moot_general_01		
ovn_hlf_fieldwarden	ovn_hlf_fieldwarden_0	ovn_hlf_fieldwarden_0	ovn_hlf_fieldwarden_0		
ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1		
ovn_hlf_master_chef	ovn_hlf_master_chef_0	ovn_hlf_master_chef_0	ovn_hlf_master_chef_0		
ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	ovn_hlf_master_chef_1		
ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	ovn_hlf_sheriff_0		
ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_0		
ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_01		
ovn_hlf_master_chef_wagon	ovn_hlf_master_chef_0_wagon	ovn_hlf_master_chef_0_wagon	ovn_hlf_master_chef_0		
ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1		
ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	ovn_hlf_sheriff_1		
ovn_uniform_olorin_the_grey_wizard	ovn_com_cha_olorin_the_grey_wizard	ovn_com_cha_olorin_the_grey_wizard	ovn_com_cha_olorin_the_grey_wizard		
ovn_uniform_aragand_the_layabout	ovn_com_cha_aragand_the_layabout	ovn_com_cha_aragand_the_layabout	ovn_com_cha_aragand_the_layabout		
ovn_uniform_legles_the_elf	ovn_com_cha_legles_the_elf	ovn_com_cha_legles_the_elf	ovn_com_cha_legles_the_elf		
ovn_uniform_giblit_the_dwarf	ovn_com_cha_giblit_the_dwarf	ovn_com_cha_giblit_the_dwarf	ovn_com_cha_giblit_the_dwarf		
cr_mtl_matron_uniform_01	cr_mtl_cha_matron_1	cr_mtl_cha_matron_1	cr_mtl_cha_matron_1		
cr_mtl_matron_uniform_02	cr_mtl_cha_matron_2	cr_mtl_cha_matron_2	cr_mtl_cha_matron_2		
