agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/ovn_halflings_only	
ovn_hlf_ll	hlf_staff
ovn_hlf_ll	hlf_robe
ovn_hlf_glibfoot	hlf_glibfoot_hyshia
ovn_hlf_glibfoot	hlf_glibfoot_willowblade
ovn_hlf_moot_general	ovn_wolf_anc_mount_hlf_moot_general_poultry
ovn_hlf_master_chef	ovn_wolf_anc_mount_hlf_master_chef_wagon
ovn_hlf_sheriff	ovn_wolf_anc_mount_hlf_sheriff_pig
ovn_com_olorin_the_grey_wizard	ovn_anc_weapon_glammyding
ovn_com_olorin_the_grey_wizard	ovn_anc_talisman_bottomless_hat_of_rabbit
ovn_com_olorin_the_grey_wizard	ovn_anc_arcane_item_cathay_fireworks
ovn_com_aragand_the_layabout	ovn_anc_weapon_aragands_sword
ovn_com_aragand_the_layabout	ovn_anc_enchanted_item_pig_swill
ovn_com_legles_the_elf	ovn_anc_talisman_friendship_bracelet_legles
ovn_com_legles_the_elf	ovn_anc_enchanted_item_ring_of_concealment
ovn_com_giblit_the_dwarf	ovn_anc_talisman_friendship_bracelet_giblit
ovn_com_giblit_the_dwarf	ovn_anc_enchanted_item_bimbos_book
ovn_hlf_ll	hlf_genchanter_ram_mount
ovn_hlf_fieldwarden	ovn_anc_mount_mtl_fieldwarden_swan
ovn_hlf_moot_general	hlf_mgeneral_swan_mount
ovn_hlf_ll	hlf_genchanter_swan_mount
