chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_hlf_buildings			
ovn_half_smiths	wh3_main_secondary_core_generic_minor		false
ovn_hlf_resource_salt	wh3_main_secondary_core_generic_minor		false
ovn_hlf_welf	wh3_main_secondary_core_generic_minor		false
ovn_hlf_cig	wh3_main_secondary_core_generic_minor		false
ovn_Animal_Rearing	wh3_main_secondary_core_generic_minor		false
ovn_half_industry	wh3_main_secondary_core_generic_minor		false
ovn_half_dragon	wh3_main_secondary_core_generic_minor		false
ovn_half_barracks	wh3_main_secondary_core_generic_minor		false
ovn_half_forges	wh3_main_secondary_core_generic_minor		false
ovn_half_tavern	wh3_main_secondary_core_generic_minor		false
ovn_hlf_roads	wh3_main_secondary_core_generic_minor		false
ovn_hlf_foreign_slot_discovery	wh3_main_secondary_core_generic_minor		false
ovn_hlf_farm_basic	wh3_main_secondary_core_generic_minor		false
ovn_hlf_garrison	wh3_main_secondary_core_generic_major_defence		false
ovn_hlf_worship	wh3_main_secondary_core_generic_minor		false
ovn_hlf_moot_cauldron	wh3_main_secondary_core_generic_minor		false
ovn_hlf_walls	wh3_main_secondary_core_generic_minor		false
ovn_hlf_garrison	wh3_main_secondary_addon_garrison_major		false
ovn_hlf_garrison	wh3_main_secondary_addon_garrison_minor		false
ovn_hlf_walls	wh3_main_secondary_addon_garrison_major		false
ovn_hlf_walls	wh3_main_secondary_addon_garrison_minor		false
ovn_hlf_settlement_major	wh3_main_primary_core_generic_major		false
ovn_hlf_settlement_minor	wh3_main_primary_core_generic_minor		false
ovn_hlf_settlement_major	wh3_main_primary_core_special_major_altdorf		true
ovn_hlf_settlement_major	wh3_main_primary_core_special_major_castle_drakenhof		true
ovn_hlf_settlement_major	wh3_main_primary_core_special_major_couronne		true
ovn_hlf_settlement_major	wh3_main_primary_core_special_major_miragliano		true
ovn_hlf_settlement_major	wh3_main_primary_core_special_major_sartosa		true
