attribute	phase	attribute_type
#special_ability_phase_attribute_effects_tables;1;db/special_ability_phase_attribute_effects_tables/ovn_halflings_only		
immune_to_psychology	ovn_character_passive_unlikely_friendship	positive
immune_to_psychology	ovn_feast	positive
fatigue_immune	ovn_hlf_glibfoot_adv_continues	positive
unbreakable	hlf_glibfoot_for_the_moot	positive
stalk	hlf_glibfoot_thief_tactics	positive
unspottable	hlf_glibfoot_thief_tactics	positive
snipe	ovn_hlf_mislead	positive
stalk	ovn_hlf_mislead	positive
unspottable	ovn_hlf_mislead	positive
