granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/ovn_halflings		
hlf_genchanter_ram_mount	hlf_ll_battleram_mount	1
hlf_genchanter_swan_mount	ovn_skill_mtl_ll_mount_swan	1
hlf_mgeneral_swan_mount	ovn_skill_mtl_mgeneral_mount_swan	1
ovn_anc_mount_mtl_fieldwarden_swan	ovn_skill_mtl_fieldwarden_mount_swan	1
ovn_anc_weapon_glammyding	ovn_skill_anc_weapon_glammyding	1
ovn_anc_talisman_bottomless_hat_of_rabbit	ovn_skill_anc_talisman_bottomless_hat_of_rabbit	1
ovn_anc_enchanted_item_ring_of_concealment	ovn_skill_anc_enchanted_item_ring_of_concealment	1
ovn_anc_weapon_aragands_sword	ovn_skill_anc_weapon_aragands_sword	1
ovn_anc_enchanted_item_pig_swill	ovn_skill_anc_enchanted_item_pig_swill	1
ovn_anc_talisman_friendship_bracelet_legles	ovn_skill_anc_weapon_friendship_bracelet_legles	1
ovn_anc_talisman_friendship_bracelet_giblit	ovn_skill_anc_weapon_friendship_bracelet_giblit	1
ovn_anc_enchanted_item_bimbos_book	ovn_skill_anc_enchanted_item_bimbos_book	1
hlf_staff	hlf_staff	1
hlf_robe	hlf_robe	1
hlf_glibfoot_hyshia	wh2_main_skill_anc_hyshia	1
hlf_glibfoot_willowblade	wh2_main_skill_anc_willowblade	1
ovn_wolf_anc_mount_hlf_moot_general_poultry	hlf_moot_general_skill_0_0_mount_poultry	1
ovn_wolf_anc_mount_hlf_master_chef_wagon	hlf_master_chef_skill_0_0_mount_wagon	1
ovn_wolf_anc_mount_hlf_sheriff_pig	hlf_sheriff_skill_0_0_mount_pig	1
