agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_halflings		
general	ovn_hlf_the_moot	ovn_hlf_glibfoot
general	ovn_hlf_the_moot	ovn_hlf_moot_general
spy	ovn_hlf_the_moot	ovn_hlf_fieldwarden
dignitary	ovn_hlf_the_moot	ovn_hlf_master_chef
champion	ovn_hlf_the_moot	ovn_hlf_sheriff
general	ovn_hlf_the_moot	ovn_com_olorin_the_grey_wizard
champion	ovn_hlf_the_moot	ovn_com_aragand_the_layabout
spy	ovn_hlf_the_moot	ovn_com_legles_the_elf
champion	ovn_hlf_the_moot	ovn_com_giblit_the_dwarf
general	ovn_hlf_the_moot	ovn_hlf_ll
general	ovn_hlf_the_moot	cr_mtl_matron
general	ovn_hlf_the_comradeship	ovn_hlf_glibfoot
general	ovn_hlf_the_comradeship	ovn_hlf_moot_general
spy	ovn_hlf_the_comradeship	ovn_hlf_fieldwarden
dignitary	ovn_hlf_the_comradeship	ovn_hlf_master_chef
champion	ovn_hlf_the_comradeship	ovn_hlf_sheriff
general	ovn_hlf_the_comradeship	ovn_com_olorin_the_grey_wizard
champion	ovn_hlf_the_comradeship	ovn_com_aragand_the_layabout
spy	ovn_hlf_the_comradeship	ovn_com_legles_the_elf
champion	ovn_hlf_the_comradeship	ovn_com_giblit_the_dwarf
general	ovn_hlf_the_comradeship	ovn_hlf_ll
general	ovn_hlf_the_comradeship	cr_mtl_matron
