key	faction	soldier_type	unit_variant	subculture	primary_colour_hex	secondary_colour_hex	tertiary_colour_hex
#unit_variants_colours_tables;3;db/unit_variants_colours_tables/ovn_halflings_only							
634122311	ovn_hlf_the_moot	soldier	ovn_mtl_art_hotpot		F0F0F0	F0F0F0	F0F0F0
634122312	ovn_hlf_the_moot	soldier	ovn_mtl_art_hotpot_ror		F0F0F0	F0F0F0	F0F0F0
645523541	ovn_hlf_the_moot	soldier	elo_supply_wagon		F0F0F0	F0F0F0	F0F0F0
270589002	ovn_hlf_the_moot	soldier	halfling_militia		917832	785A19	A08246
270589003	ovn_hlf_the_moot	soldier	halfling_milittia_arch		917832	785A19	785A19
270589004	ovn_hlf_the_moot	soldier	halfling_warfoot		FFFFBE	9B2323	234B23
270589006	ovn_hlf_the_moot	soldier	sr_ogre		8CA032	C8BE3C	DCDCDC
270589024	ovn_hlf_the_moot	soldier	ovn_hlf_ll		191919	503228	191919
270589025	ovn_hlf_the_moot	soldier	halfling_cook		8CA032	C8A03C	F0F0F0
270589026	ovn_hlf_the_moot	soldier	halfling_thief		323232	503828	191919
270589027	ovn_hlf_the_moot	soldier	halfling_cat		E6E6E6	E6E6E6	E6E6E6
270589028	ovn_hlf_the_moot	soldier	halfling_spear		917832	785A19	A08246
270589029	ovn_hlf_the_moot	soldier	halfling_cook_ror		E6E6E6	E6E6E6	F0F0F0
270589030	ovn_hlf_the_moot	soldier	halfling_cat_ror		E6E6E6	E6E6E6	E6E6E6
270589007		soldier	halfling_archer		4B6E3C	4B6E3C	C8C8C8
270589005	ovn_hlf_the_moot	soldier	halfling_cock		3F7C45	960000	960000
292389672	ovn_hlf_the_moot	soldier	ovn_hlf_glibfoot		2B4830	000000	2B3730
281589030	ovn_hlf_the_moot	soldier	ovn_hlf_fieldwarden		983300	663300	983300
281589031	ovn_hlf_the_moot	soldier	ovn_hlf_moot_general		8CA032	800000	9B2D23
281599141	ovn_hlf_the_moot	soldier	ovn_hlf_master_chef		CC9900	E6E6E6	E6E6E6
283589586	ovn_hlf_the_moot	officer	ovn_hlf_moot_general_2_poultry		8CA032	800000	9B2D23
281687641	ovn_hlf_the_moot	officer	ovn_hlf_master_chef_1		CC9900	E6E6E6	E6E6E6
289527642	ovn_hlf_the_moot	soldier	halfling_knights_kitchentable_ror		773232	F3F3F3	010101
289527643	ovn_hlf_the_moot	soldier	halfling_lords_of_harvest_ror		773232	FFFF66	010101
289527644	ovn_hlf_the_moot	soldier	halfling_pantry_guards_ror		009999	FFFF66	FFFFFF
