invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/ovn_halflings_only	
climbing	ovn_unit_abilities_crazed_cooks
health_below_25%	ovn_unit_abilities_crazed_cooks
on_a_platform	ovn_unit_abilities_crazed_cooks
climbing	ovn_unit_abilities_crazed_cooks_upgraded
health_below_25%	ovn_unit_abilities_crazed_cooks_upgraded
on_a_platform	ovn_unit_abilities_crazed_cooks_upgraded
cannot_perform_missile_attack	reckless_taste
on_a_platform	ovn_character_abilities_the_recovery_of_the_king
phase_is_deployment	ovn_character_abilities_the_recovery_of_the_king
phase_is_the_end_phase	ovn_character_abilities_the_recovery_of_the_king
hp_replenish_cap_reached	ovn_character_abilities_hair_of_the_dog
morale_is_broken_or_lower	ovn_character_abilities_hair_of_the_dog
engaged_in_melee	ovn_character_abilities_hair_of_the_dog
climbing	ovn_hlf_mislead
engaged_in_melee	ovn_hlf_mislead
manning_equipment	ovn_hlf_mislead
on_a_platform	ovn_hlf_mislead
climbing	hlf_gatherers_yank
out_of_melee	hlf_gatherers_yank
climbing	cr_spell_moot_40_goulashes
manning_equipment	cr_spell_moot_40_goulashes
climbing	cr_spell_moot_40_goulashes_upgraded
manning_equipment	cr_spell_moot_40_goulashes_upgraded
climbing	cr_spell_moot_phineas_wrath
manning_equipment	cr_spell_moot_phineas_wrath
climbing	cr_spell_moot_phineas_wrath_upgraded
manning_equipment	cr_spell_moot_phineas_wrath_upgraded
climbing	cr_spell_moot_josiass_bodily_cleanse
manning_equipment	cr_spell_moot_josiass_bodily_cleanse
climbing	cr_spell_moot_josiass_bodily_cleanse_upgraded
manning_equipment	cr_spell_moot_josiass_bodily_cleanse_upgraded
climbing	cr_spell_moot_barnyard_stampede
manning_equipment	cr_spell_moot_barnyard_stampede
climbing	cr_spell_moot_barnyard_stampede_upgraded
manning_equipment	cr_spell_moot_barnyard_stampede_upgraded
climbing	cr_spell_moot_esmeraldas_last_course
manning_equipment	cr_spell_moot_esmeraldas_last_course
climbing	cr_spell_moot_esmeraldas_last_course_upgraded
manning_equipment	cr_spell_moot_esmeraldas_last_course_upgraded
climbing	cr_spell_moot_haffenlyver
manning_equipment	cr_spell_moot_haffenlyver
climbing	cr_spell_moot_haffenlyver_upgraded
manning_equipment	cr_spell_moot_haffenlyver_upgraded
