building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_hlf_buildings			
ovn_half_smiths		wh_main_set_empire_military_support	false
ovn_hlf_resource_salt		wh2_main_set_resource	false
ovn_hlf_welf		wh2_main_set_landmark	false
ovn_hlf_cig		wh2_main_set_landmark	false
ovn_Animal_Rearing		wh_main_set_empire_military_recruitment	false
ovn_half_industry		wh_main_set_empire_economy	false
ovn_half_dragon		wh_main_set_empire_military_recruitment	false
ovn_half_barracks		wh_main_set_empire_military_recruitment	false
ovn_half_forges		wh_main_set_empire_military_recruitment	false
ovn_half_tavern		wh_main_set_empire_economy	false
ovn_hlf_roads		wh_main_set_empire_economy	false
ovn_hlf_foreign_slot_discovery		wh_main_set_empire_defence	false
ovn_hlf_farm_basic		wh_main_set_empire_economy	false
ovn_hlf_garrison		wh_main_set_empire_defence	false
ovn_hlf_worship		wh_main_set_empire_military_support	false
ovn_hlf_moot_cauldron		wh2_main_set_landmark	false
ovn_hlf_settlement_major		wh_main_set_settlement_major	false
ovn_hlf_settlement_minor		wh_main_set_settlement_minor	false
