id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount
#special_ability_phases_tables;41;db/special_ability_phases_tables/ovn_halflings_only																													
ovn_hlf_bee_throwers_contact	10.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	false	true	0.0000			false	0.0000	0.0000
hlf_master_chef_regeneration_passive_aura	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.5000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_hp_regen_passive		false	true	false	0.0000			false	3.0000	0.0000
hlf_master_chef_earth_blood	7.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0		wh_dlc05_spell_life_earth_blood	wh_dlc05_spell_life_earth_blood	false	true	true	0.0000			false	24.0000	0.0000
hlf_master_chef_earth_blood_upgraded	14.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0		wh_dlc05_spell_life_earth_blood	wh_dlc05_spell_life_earth_blood	false	true	true	0.0000			false	24.0000	0.0000
hlf_master_chef_hot_spices	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	false	true	0.0000			false	0.0000	0.0000
ovn_hlf_mislead	47.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh2_dlc10_mislead_phase	wh2_dlc10_ability_mislead_caster	false	true	false	0.0000			false	0.0000	0.0000
ovn_hlf_glibfoot_adv_continues	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence_morale_passive		false	true	true	0.0000			false	0.0000	0.0000
hlf_glibfoot_for_the_moot	28.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_spell_light_light_of_battle	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000
hlf_glibfoot_willowblade_ability	24.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_dlc08_spell_nor_hunter_of_champions	wh_ability_negative	false	true	true	0.0000			false	0.0000	0.0000
hlf_glibfoot_thief_tactics	29.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000
