key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/ovn_halflings_only		
farm_machine	chariot	cavalry_chariots
poultry	hlf_cavoultry	cavalry_chariots
ovn_com_olorin_the_grey_wizard	ovn_com_olorin_the_grey_wizard	commander
ovn_com_aragand_the_layabout	wh_dlc07_brt_grail_relique	heroes_agents
ovn_com_aragand_the_true_king	infantry_sword_great	heroes_agents
ovn_com_legles_the_elf	wh2_main_infantry_dual_swords	heroes_agents
ovn_com_giblit_the_dwarf	infantry_axe_great	heroes_agents
pigalry	hlf_pigalry	cavalry_chariots
ovn_hlf_bee_throwers	ovn_hlf_bee_throwers	missile_infantry
hlf_master_chef	hlf_master_chef	heroes_agents
mtl_matron_moot	cr_lore_moot	heroes_agents
hlf_piggyback	hlf_piggyback	cavalry_chariots
